ch99_code,reviewed_by,note
9903.40.05,claude-2026-06-11,Legacy Section 421 China tires safeguard (2009-2012; expired). Heading text persists in HTS; no current duty collected.
9903.40.10,claude-2026-06-11,Legacy Section 421 China tires safeguard (2009-2012; expired). Heading text persists in HTS; no current duty collected.
9903.41.05,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (leather). Expired; heading text persists in HTS.
9903.41.15,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (ADP machines). Expired; heading text persists in HTS.
9903.41.20,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (calculating machines). Expired; heading text persists in HTS.
9903.41.25,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (calculating machines). Expired; heading text persists in HTS.
9903.41.30,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (rotary/percussion hammers). Expired; heading text persists in HTS.
9903.41.35,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (power tools). Expired; heading text persists in HTS.
9903.41.40,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (color TV receivers). Expired; heading text persists in HTS.
9903.41.45,claude-2026-06-11,Legacy 1980s-era Section 201 safeguard residue (color TV receivers). Expired; heading text persists in HTS.
9903.45.01,claude-2026-06-11,Washers safeguard (Proc 9694) in-quota tier; safeguard terminated 2023-02-07. Active solar headings 9903.45.21-.29 are handled by the s201 extractor.
9903.45.02,claude-2026-06-11,Washers safeguard (Proc 9694) over-quota tier; safeguard terminated 2023-02-07.
9903.45.05,claude-2026-06-11,Washers safeguard (Proc 9694) parts in-quota tier; safeguard terminated 2023-02-07.
9903.45.06,claude-2026-06-11,Washers safeguard (Proc 9694) parts over-quota tier; safeguard terminated 2023-02-07.
