revision,format,url,note
2019_basic,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_basic_data.json,NA
2019_basic,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_basic_data.csv,NA
2019_rev_3,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_revision_2_json_0.json,archive links this edition to a file named for revision 2
2019_rev_3,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_revision_2_csv.csv,archive links this edition to a file named for revision 2
2019_rev_10,json,https://www.usitc.gov/sites/default/files/tata/hts/htsdata_2.json,NA
2019_rev_10,csv,https://www.usitc.gov/sites/default/files/tata/hts/htsdata_3.csv,NA
2019_rev_12,json,https://www.usitc.gov/sites/default/files/tata/hts/htsdata_3.json,NA
2019_rev_12,csv,https://www.usitc.gov/sites/default/files/tata/hts/htsdata_4.csv,NA
2019_rev_13,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_13_data.json,NA
2019_rev_13,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_13_data.csv,NA
2019_rev_14,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_14_data.json,NA
2019_rev_14,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_14_data.csv,NA
2019_rev_15,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_15_data_json.json,NA
2019_rev_15,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_15_data_csv.csv,NA
2019_rev_16,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_16_data_json.json,NA
2019_rev_16,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_16_data_csv.csv,NA
2019_rev_17,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_17_data_json.json,NA
2019_rev_17,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_17_data_csv.csv,NA
2019_rev_18,json,https://www.usitc.gov/sites/default/files/tata/hts/htsdata_4.json,NA
2019_rev_18,csv,https://www.usitc.gov/sites/default/files/tata/hts/htsdata_5.csv,NA
2019_rev_19,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_19_data_json.json,NA
2019_rev_19,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_19_data_csv.csv,NA
2019_rev_20,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_20_data_json.json,NA
2019_rev_20,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2019_rev_20_data_csv.csv,NA
2020_basic,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_revision_basicb_json.json,NA
2020_basic,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_revision_basicb_csv.csv,NA
2020_rev_1,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_rev_1_data_json.json,NA
2020_rev_1,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_rev_1_data_csv.csv,NA
2020_rev_2,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_rev_2_data_json.json,NA
2020_rev_2,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_rev_2_data_csv.csv,NA
2020_rev_3,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2020_revsision_3_json.json,NA
2021_basic,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_json.json,NA
2021_basic,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_csv.csv,NA
2021_rev_1,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_1_json.json,NA
2021_rev_1,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_1_csv.csv,NA
2021_rev_2,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_2_json.json,NA
2021_rev_2,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_2_csv.csv,NA
2021_rev_3,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_3_json.json,NA
2021_rev_3,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_3_csv.csv,NA
2021_rev_4,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_4_json.json,NA
2021_rev_4,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_4_csv.csv,NA
2021_rev_5,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_5_json.json,NA
2021_rev_5,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_5_csv.csv,NA
2021_rev_6,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_6_json.json,NA
2021_rev_6,csv,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_6_csv.csv,NA
2021_rev_8,json,https://www.usitc.gov/sites/default/files/tata/hts/hts_2021_revision_basic_8_json.json,NA
