revision,effective_date,policy_effective_date,tpc_date,policy_event,tpc_policy_revision,needs_review,policy_family,usitc_archive_page_url,modification_source_titles,modification_source_citations,federal_register_or_source_links,source_commentary
2019_basic,2019-02-21,NA,NA,2019 basic (mature 2018 tariffs baked in: §232 steel 25%/alu 10%; §301 China Lists 1-4; §201),NA,NA,agoa_and_section_301_china_or_dst_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"To Take Certain Actions Under the African Growth and Opportunity Act and For Other Purposes | Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",84 Fed. Reg. 35 | 83 Fed. Reg. 67463 | 484(f),https://www.federalregister.gov/documents/2019/01/07/2019-00013/to-take-certain-actions-under-the-african-growth-and-opportunity-act-and-for-other-purposes | https://www.federalregister.gov/documents/2018/12/28/2018-28277/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_1,2019-03-25,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 11152)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 11152,https://www.federalregister.gov/documents/search?conditions%5Bterm%5D=Notice%20of%20Product%20Exclusions%3A%20China%27s%20Acts%2C%20Policies%2C%20and%20Practices%20Related%20to%20Technology%20Transfer%2C%20Intellectual%20Property%2C%20and%20Innovation%2084%20Fed.%20Reg.%2011152,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_2,2019-03-28,NA,NA,Effective Date of Modifications to Rules of Origin of the United States-Morocco Free Trade Agreement (84 Fed. Reg. 10883),NA,NA,other_hts_policy,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,Effective Date of Modifications to Rules of Origin of the United States-Morocco Free Trade Agreement,84 Fed. Reg. 10883,https://www.federalregister.gov/documents/2019/03/22/2019-05551/effective-date-of-modifications-to-rules-of-origin-of-the-united-states-morocco-free-trade-agreement,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_3,2019-04-18,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 16310)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 16310,https://www.federalregister.gov/documents/2019/04/18/2019-07758/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_4,2019-05-09,NA,NA,"Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 20459)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Modification of Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 20459,https://www.federalregister.gov/documents/2019/05/09/2019-09681/notice-of-modification-of-section-301-action-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_5,2019-05-15,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 21389); Implementing Modification to Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 21892)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Implementing Modification to Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 21389 | 84 Fed. Reg. 21892,https://www.federalregister.gov/documents/2019/05/14/2019-09872/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/05/15/2019-09990/implementing-modification-to-section-301-action-chinas-acts-policies-and-practices-related-to,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_6,2019-05-20,NA,NA,Adjusting Imports of Steel into the United States (84 Fed. Reg. 23421); To Modify The List of Beneficiary Developing Countries Under The Trade Act Of 1974 (84 Fed. Reg. 23425); Adjusting Imports of Steel into the United States (84 Fed. Reg. 23987); Adjusting Imports of Aluminum into the United States (84 Fed. Reg. 23983),NA,NA,other_hts_policy_and_section_232_aluminum_and_section_232_steel,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,Adjusting Imports of Steel into the United States | To Modify The List of Beneficiary Developing Countries Under The Trade Act Of 1974 | Adjusting Imports of Steel into the United States | Adjusting Imports of Aluminum into the United States,84 Fed. Reg. 23421 | 84 Fed. Reg. 23425 | 84 Fed. Reg. 23987 | 84 Fed. Reg. 23983,https://www.federalregister.gov/documents/2019/05/21/2019-10759/adjusting-imports-of-steel-into-the-united-states | https://www.federalregister.gov/documents/2019/05/21/2019-10761/to-modify-the-list-of-beneficiary-developing-countries-under-the-trade-act-of-1974 | https://www.federalregister.gov/documents/2019/05/23/2019-11002/adjusting-imports-of-steel-into-the-united-states | https://www.federalregister.gov/documents/2019/05/23/2019-10999/adjusting-imports-of-aluminum-into-the-united-states,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_7,2019-06-13,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 25895); Additional Implementing Modification to Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 26930); Exclusion of Particular Products From the Solar Products Safeguard Measure (84 Fed. Reg. 27684); To Modify the List of Beneficiary Developing Countries Under the Trade Act of 1974 (84 Fed. Reg. 26323)",NA,NA,other_hts_policy_and_section_201_safeguard_and_section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Additional Implementing Modification to Section 301 Action: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation | Exclusion of Particular Products From the Solar Products Safeguard Measure | To Modify the List of Beneficiary Developing Countries Under the Trade Act of 1974",84 Fed. Reg. 25895 | 84 Fed. Reg. 26930 | 84 Fed. Reg. 27684 | 84 Fed. Reg. 26323,https://www.federalregister.gov/documents/2019/06/04/2019-11573/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer | https://www.federalregister.gov/documents/2019/06/10/2019-12104/additional-implementing-modification-to-section-301-action-chinas-acts-policies-and-practices | https://www.federalregister.gov/documents/2019/06/13/2019-12476/exclusion-of-particular-products-from-the-solar-products-safeguard-measure | https://www.federalregister.gov/documents/2019/03/22/2019-05551/effective-date-of-modifications-to-rules-of-origin-of-the-united-states-morocco-free-trade-agreement,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_8,2019-07-01,NA,NA,"To Implement the World Trade Organization Declaration on the Expansion of Trade in Information Technology Products and For Other Purposes (81 Fed. Reg. 44129); Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930 (484(f))",NA,NA,other_hts_policy_and_statistical_or_technical,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"To Implement the World Trade Organization Declaration on the Expansion of Trade in Information Technology Products and For Other Purposes | Changes approved by the Committee for Statistical Annotation of Tariff Schedules under section 484(f), Tariff Act of 1930",81 Fed. Reg. 44129 | 484(f),https://www.federalregister.gov/documents/2016/07/06/2016-16174/to-implement-the-world-trade-organization-declaration-on-the-expansion-of-trade-in-information | https://www.usitc.gov/harmonized_tariff_information/484_f_committee_changes,"REVIEW: Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
2019_rev_9,2019-07-09,NA,NA,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation (84 Fed. Reg. 32821)",NA,NA,section_301_china_or_dst,https://www.usitc.gov/harmonized_tariff_information/hts/archive/list?page=5,"Notice of Product Exclusions: China's Acts, Policies, and Practices Related to Technology Transfer, Intellectual Property, and Innovation",84 Fed. Reg. 32821,https://www.federalregister.gov/documents/2019/07/09/2019-14562/notice-of-product-exclusions-chinas-acts-policies-and-practices-related-to-technology-transfer,"Archive-driven from USITC HTS archive Modification Source(s). Use links to validate legal authority, effective dates, and Chapter 99 text."
