GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
01,80,0,Live animals,,0,,1988-01-01
0101,80,1,"Live horses, asses, mules and hinnies:",,0,,1988-01-01
,10,2,horses:,,,,2012-01-01
010121,80,3,pure-bred breeding animals:,,0,,2012-01-01
01012110,80,4,within the limits of the tariff quota (Q. No. 1),Fr. per piece(s),1,120.00,2012-01-01
01012190,80,4,other,Fr. per piece(s),1,3834.00,2012-01-01
010129,80,3,other:,,0,,2012-01-01
,10,4,for slaughter:,,,,2012-01-01
01012911,80,5,within the limits of the tariff quota (Q. No. 5),Fr. per piece(s),1,90.00,2012-01-01
01012919,80,5,other,Fr. per piece(s),1,1309.00,2012-01-01
,10,4,other:,,,,2012-01-01
01012991,80,5,within the limits of the tariff quota (Q. No. 1),Fr. per piece(s),1,120.00,2012-01-01
,10,5,other:,,,,2012-01-01
01012995,80,6,of a height at the withers exceeding 1.48 m,Fr. per piece(s),1,3834.00,2012-01-01
01012996,80,6,of a height at the withers exceeding 1.35 m but not exceeding 1.48 m,Fr. per piece(s),1,3834.00,2012-01-01
01012997,80,6,of a height at the withers not exceeding 1.35 m,Fr. per piece(s),1,3834.00,2012-01-01
010130,80,2,asses:,,0,,2012-01-01
,10,3,pure-bred breeding animals:,,,,2012-01-01
01013011,80,4,within the limits of the tariff quota (Q. No. 1),Fr. per piece(s),1,3.00,2012-01-01
01013019,80,4,other,Fr. per piece(s),1,1281.00,2012-01-01
,10,3,other:,,,,2012-01-01
01013091,80,4,for slaughter; wild asses,Fr. per piece(s),1,3.00,2012-01-01
,10,4,other:,,,,2012-01-01
01013095,80,5,within the limits of the tariff quota (Q. No. 1),Fr. per piece(s),1,3.00,2012-01-01
01013096,80,5,other,Fr. per piece(s),1,1281.00,2012-01-01
010190,80,2,other:,,0,,2002-01-01
01019010,80,3,for slaughter,Fr. per piece(s),1,3.00,2012-01-01
,10,3,other:,,,,2012-01-01
01019093,80,4,within the limits of the tariff quota (Q. No. 1),Fr. per piece(s),1,3.00,2012-01-01
01019099,80,4,other,Fr. per piece(s),1,1281.00,2012-01-01
0102,80,1,Live bovine animals:,,0,,1988-01-01
,10,2,cattle:,,,,2012-01-01
010221,80,3,pure-bred breeding animals:,,0,,2012-01-01
01022110,80,4,within the limits of the tariff quota (Q. No. 2),Fr. per piece(s),1,60.00,2012-01-01
,10,4,other:,,,,2012-01-01
01022191,80,5,"of brown, spotted or Holstein races",Fr. per piece(s),1,2594.00,2012-01-01
01022199,80,5,other,Fr. per piece(s),1,2594.00,2012-01-01
010229,80,3,other:,,0,,2012-01-01
,10,4,for slaughter:,,,,2012-01-01
01022911,80,5,within the limits of the tariff quota (Q. No. 5),Fr. per piece(s),1,95.00,2012-01-01
01022919,80,5,other,Fr. per piece(s),1,1275.00,2012-01-01
,10,4,other:,,,,2012-01-01
01022991,80,5,within the limits of the tariff quota (Q. No. 2),Fr. per piece(s),1,60.00,2012-01-01
01022999,80,5,other,Fr. per piece(s),1,1275.00,2012-01-01
,10,2,buffalo:,,,,2012-01-01
010231,80,3,pure-bred breeding animals:,,0,,2012-01-01
