GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
01,80,0,Lebende Tiere,,0,,1988-01-01
0101,80,1,"Pferde, Esel, Maultiere und Maulesel, lebend:",,0,,1988-01-01
,10,2,Pferde:,,,,2012-01-01
010121,80,3,reinrassige Zuchttiere:,,0,,2012-01-01
01012110,80,4,innerhalb des Zollkontingents (K-Nr. 1) eingeführt,Fr. je Stück,1,120.00,2012-01-01
01012190,80,4,andere,Fr. je Stück,1,3834.00,2012-01-01
010129,80,3,andere:,,0,,2012-01-01
,10,4,zum Schlachten:,,,,2012-01-01
01012911,80,5,innerhalb des Zollkontingents (K-Nr. 5) eingeführt,Fr. je Stück,1,90.00,2012-01-01
01012919,80,5,andere,Fr. je Stück,1,1309.00,2012-01-01
,10,4,andere:,,,,2012-01-01
01012991,80,5,innerhalb des Zollkontingents (K-Nr. 1) eingeführt,Fr. je Stück,1,120.00,2012-01-01
,10,5,andere:,,,,2012-01-01
01012995,80,6,"mit einer Widerristhöhe von mehr als 1,48 m",Fr. je Stück,1,3834.00,2012-01-01
01012996,80,6,"mit einer Widerristhöhe von mehr als 1,35 m, jedoch nicht mehr als 1,48 m",Fr. je Stück,1,3834.00,2012-01-01
01012997,80,6,"mit einer Widerristhöhe von nicht mehr als 1,35 m",Fr. je Stück,1,3834.00,2012-01-01
010130,80,2,Esel:,,0,,2012-01-01
,10,3,reinrassige Zuchttiere:,,,,2012-01-01
01013011,80,4,innerhalb des Zollkontingents (K-Nr. 1) eingeführt,Fr. je Stück,1,3.00,2012-01-01
01013019,80,4,andere,Fr. je Stück,1,1281.00,2012-01-01
,10,3,andere:,,,,2012-01-01
01013091,80,4,zum Schlachten; Wildesel,Fr. je Stück,1,3.00,2012-01-01
,10,4,andere:,,,,2012-01-01
01013095,80,5,innerhalb des Zollkontingents (K-Nr. 1) eingeführt,Fr. je Stück,1,3.00,2012-01-01
01013096,80,5,andere,Fr. je Stück,1,1281.00,2012-01-01
010190,80,2,andere:,,0,,2002-01-01
01019010,80,3,zum Schlachten,Fr. je Stück,1,3.00,2012-01-01
,10,3,andere:,,,,2012-01-01
01019093,80,4,innerhalb des Zollkontingents (K-Nr. 1) eingeführt,Fr. je Stück,1,3.00,2012-01-01
01019099,80,4,andere,Fr. je Stück,1,1281.00,2012-01-01
0102,80,1,"Tiere der Rindviehgattung, lebend:",,0,,1988-01-01
,10,2,Hausrinder:,,,,2012-01-01
010221,80,3,reinrassige Zuchttiere:,,0,,2012-01-01
01022110,80,4,innerhalb des Zollkontingents (K-Nr. 2) eingeführt,Fr. je Stück,1,60.00,2012-01-01
,10,4,andere:,,,,2012-01-01
01022191,80,5,"der Rassen Braunvieh, Fleckvieh, Holstein",Fr. je Stück,1,2594.00,2012-01-01
