GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
01,80,0,Animaux vivants,,0,,1988-01-01
0101,80,1,"Chevaux, ânes, mulets et bardots, vivants:",,0,,1988-01-01
,10,2,chevaux:,,,,2012-01-01
010121,80,3,reproducteurs de race pure:,,0,,2012-01-01
01012110,80,4,importés dans les limites du contingent tarifaire (c. n° 1),Fr. par pièce(s),1,120.00,2012-01-01
01012190,80,4,autres,Fr. par pièce(s),1,3834.00,2012-01-01
010129,80,3,autres:,,0,,2012-01-01
,10,4,de boucherie:,,,,2012-01-01
01012911,80,5,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par pièce(s),1,90.00,2012-01-01
01012919,80,5,autres,Fr. par pièce(s),1,1309.00,2012-01-01
,10,4,autres:,,,,2012-01-01
01012991,80,5,importés dans les limites du contingent tarifaire (c. n° 1),Fr. par pièce(s),1,120.00,2012-01-01
,10,5,autres:,,,,2012-01-01
01012995,80,6,"d'une hauteur au garrot excédant 1,48 m",Fr. par pièce(s),1,3834.00,2012-01-01
01012996,80,6,"d'une hauteur au garrot excédant 1,35 m mais n'excédant pas 1,48 m",Fr. par pièce(s),1,3834.00,2012-01-01
01012997,80,6,"d'une hauteur au garrot n'excédant pas 1,35 m",Fr. par pièce(s),1,3834.00,2012-01-01
010130,80,2,ânes:,,0,,2012-01-01
,10,3,reproducteurs de race pure:,,,,2012-01-01
01013011,80,4,importés dans les limites du contingent tarifaire (c. n° 1),Fr. par pièce(s),1,3.00,2012-01-01
01013019,80,4,autres,Fr. par pièce(s),1,1281.00,2012-01-01
,10,3,autres:,,,,2012-01-01
01013091,80,4,de boucherie; ânes sauvages,Fr. par pièce(s),1,3.00,2012-01-01
,10,4,autres:,,,,2012-01-01
01013095,80,5,importés dans les limites du contingent tarifaire (c. n° 1),Fr. par pièce(s),1,3.00,2012-01-01
01013096,80,5,autres,Fr. par pièce(s),1,1281.00,2012-01-01
010190,80,2,autres:,,0,,2002-01-01
01019010,80,3,de boucherie,Fr. par pièce(s),1,3.00,2012-01-01
,10,3,autres:,,,,2012-01-01
01019093,80,4,importés dans les limites du contingent tarifaire (c. n° 1),Fr. par pièce(s),1,3.00,2012-01-01
01019099,80,4,autres,Fr. par pièce(s),1,1281.00,2012-01-01
0102,80,1,Animaux vivants de l'espèce bovine:,,0,,1988-01-01
,10,2,bovins domestiques:,,,,2012-01-01
010221,80,3,reproducteurs de race pure:,,0,,2012-01-01
01022110,80,4,importés dans les limites du contingent tarifaire (c. n° 2),Fr. par pièce(s),1,60.00,2012-01-01
,10,4,autres:,,,,2012-01-01
01022191,80,5,"de race brune, de race tachetée, de race Holstein",Fr. par pièce(s),1,2594.00,2012-01-01
01022199,80,5,autres,Fr. par pièce(s),1,2594.00,2012-01-01
010229,80,3,autres:,,0,,2012-01-01
,10,4,de boucherie:,,,,2012-01-01
01022911,80,5,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par pièce(s),1,95.00,2012-01-01
01022919,80,5,autres,Fr. par pièce(s),1,1275.00,2012-01-01
,10,4,autres:,,,,2012-01-01
01022991,80,5,importés dans les limites du contingent tarifaire (c. n° 2),Fr. par pièce(s),1,60.00,2012-01-01
01022999,80,5,autres,Fr. par pièce(s),1,1275.00,2012-01-01
,10,2,buffles:,,,,2012-01-01
010231,80,3,reproducteurs de race pure:,,0,,2012-01-01
01023110,80,4,importés dans les limites du contingent tarifaire (c. n° 2),Fr. par pièce(s),1,60.00,2012-01-01
01023190,80,4,autres,Fr. par pièce(s),1,2594.00,2012-01-01
010239,80,3,autres:,,0,,2012-01-01
,10,4,de boucherie:,,,,2012-01-01
01023911,80,5,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par pièce(s),1,95.00,2012-01-01
01023919,80,5,autres,Fr. par pièce(s),1,1275.00,2012-01-01
,10,4,autres:,,,,2012-01-01
01023991,80,5,importés dans les limites du contingent tarifaire (c. n° 2),Fr. par pièce(s),1,60.00,2012-01-01
01023999,80,5,autres,Fr. par pièce(s),1,1275.00,2012-01-01
010290,80,2,autres:,,0,,1988-01-01
,10,3,de boucherie:,,,,2012-01-01
01029012,80,4,importés dans les limites du contingent tarifaire (c. n° 5),Fr. par pièce(s),1,95.00,2012-01-01
01029018,80,4,autres,Fr. par pièce(s),1,1275.00,2012-01-01
,10,3,autres:,,,,2012-01-01
01029092,80,4,importés dans les limites du contingent tarifaire (c. n° 2),Fr. par pièce(s),1,60.00,2012-01-01
01029098,80,4,autres,Fr. par pièce(s),1,1275.00,2012-01-01
0103,80,1,Animaux vivants de l'espèce porcine:,,0,,1988-01-01
010310,80,2,reproducteurs de race pure:,,0,,1988-01-01
01031010,80,3,importés dans les limites du contingent tarifaire (c. n° 3),Fr. par pièce(s),1,10.00,1995-07-01
01031090,80,3,autres,Fr. par pièce(s),1,1309.00,1995-07-01
,10,2,autres:,,,,1988-01-01
010391,80,3,d'un poids inférieur à 50 kg:,,0,,1988-01-01
01039110,80,4,importés dans les limites du contingent tarifaire (c. n° 3) (autres reproducteurs),Fr. par pièce(s),1,63.00,1995-07-01
01039120,80,4,importés dans les limites du contingent tarifaire (c. n° 6) (animaux de boucherie),Fr. par pièce(s),1,63.00,1995-07-01
01039190,80,4,autres,Fr. par pièce(s),1,1309.00,1995-07-01
010392,80,3,d'un poids égal ou supérieur à 50 kg:,,0,,1988-01-01
01039210,80,4,importés dans les limites du contingent tarifaire (c. n° 3) (autres reproducteurs),Fr. par pièce(s),1,40.00,1995-07-01
01039220,80,4,importés dans les limites du contingent tarifaire (c. n° 6) (animaux de boucherie),Fr. par pièce(s),1,40.00,1995-07-01
01039290,80,4,autres,Fr. par pièce(s),1,1309.00,1995-07-01
0104,80,1,Animaux vivants des espèces ovine ou caprine:,,0,,1988-01-01
010410,80,2,de l'espèce ovine:,,0,,1988-01-01
01041010,80,3,importés dans les limites du contingent tarifaire (c. n° 4) (reproducteurs),Fr. par pièce(s),1,25.00,1995-07-01
