GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,GT_RATE,START_DATE
01,80,0,Animali vivi,,0,,1988-01-01
0101,80,1,"Cavalli, asini, muli e bardotti, vivi:",,0,,1988-01-01
,10,2,cavalli:,,,,2012-01-01
010121,80,3,riproduttori di razza pura:,,0,,2012-01-01
01012110,80,4,importati nei limiti del contingente doganale (n. cont. 1),Fr. per capo/capi,1,120.00,2012-01-01
01012190,80,4,altri,Fr. per capo/capi,1,3834.00,2012-01-01
010129,80,3,altri:,,0,,2012-01-01
,10,4,da macello:,,,,2012-01-01
01012911,80,5,importati nei limiti del contingente doganale (n. cont. 5),Fr. per capo/capi,1,90.00,2012-01-01
01012919,80,5,altri,Fr. per capo/capi,1,1309.00,2012-01-01
,10,4,altri:,,,,2012-01-01
01012991,80,5,importati nei limiti del contingente doganale (n. cont. 1),Fr. per capo/capi,1,120.00,2012-01-01
,10,5,altri:,,,,2012-01-01
01012995,80,6,"con un'altezza del garrese superiore a 1,48 m",Fr. per capo/capi,1,3834.00,2012-01-01
01012996,80,6,"con un'altezza del garrese superiore a 1,35 m ma non eccedente 1,48 m",Fr. per capo/capi,1,3834.00,2012-01-01
01012997,80,6,"con un'altezza del garrese non eccedente 1,35 m",Fr. per capo/capi,1,3834.00,2012-01-01
010130,80,2,asini:,,0,,2012-01-01
,10,3,riproduttori di razza pura:,,,,2012-01-01
01013011,80,4,importati nei limiti del contingente doganale (n. cont. 1),Fr. per capo/capi,1,3.00,2012-01-01
01013019,80,4,altri,Fr. per capo/capi,1,1281.00,2012-01-01
,10,3,altri:,,,,2012-01-01
01013091,80,4,da macello; emioni e onagri,Fr. per capo/capi,1,3.00,2012-01-01
,10,4,altri:,,,,2012-01-01
01013095,80,5,importati nei limiti del contingente doganale (n. cont. 1),Fr. per capo/capi,1,3.00,2012-01-01
01013096,80,5,altri,Fr. per capo/capi,1,1281.00,2012-01-01
010190,80,2,altri:,,0,,2002-01-01
01019010,80,3,da macello,Fr. per capo/capi,1,3.00,2012-01-01
,10,3,altri:,,,,2012-01-01
01019093,80,4,importati nei limiti del contingente doganale (n. cont. 1),Fr. per capo/capi,1,3.00,2012-01-01
01019099,80,4,altri,Fr. per capo/capi,1,1281.00,2012-01-01
0102,80,1,Animali vivi della specie bovina:,,0,,1988-01-01
,10,2,bovini domestici:,,,,2012-01-01
010221,80,3,riproduttori di razza pura:,,0,,2012-01-01
01022110,80,4,importati nei limiti del contingente doganale (n. cont. 2),Fr. per capo/capi,1,60.00,2012-01-01
,10,4,altri:,,,,2012-01-01
01022191,80,5,"delle razze bruna, chiazzata, Holstein",Fr. per capo/capi,1,2594.00,2012-01-01
01022199,80,5,altri,Fr. per capo/capi,1,2594.00,2012-01-01
010229,80,3,altri:,,0,,2012-01-01
,10,4,da macello:,,,,2012-01-01
01022911,80,5,importati nei limiti del contingente doganale (n. cont. 5),Fr. per capo/capi,1,95.00,2012-01-01
01022919,80,5,altri,Fr. per capo/capi,1,1275.00,2012-01-01
,10,4,altri:,,,,2012-01-01
01022991,80,5,importati nei limiti del contingente doganale (n. cont. 2),Fr. per capo/capi,1,60.00,2012-01-01
01022999,80,5,altri,Fr. per capo/capi,1,1275.00,2012-01-01
,10,2,bufali:,,,,2012-01-01
010231,80,3,riproduttori di razza pura:,,0,,2012-01-01
01023110,80,4,importati nei limiti del contingente doganale (n. cont. 2),Fr. per capo/capi,1,60.00,2012-01-01
01023190,80,4,altri,Fr. per capo/capi,1,2594.00,2012-01-01
010239,80,3,altri:,,0,,2012-01-01
,10,4,da macello:,,,,2012-01-01
01023911,80,5,importati nei limiti del contingente doganale (n. cont. 5),Fr. per capo/capi,1,95.00,2012-01-01
01023919,80,5,altri,Fr. per capo/capi,1,1275.00,2012-01-01
,10,4,altri:,,,,2012-01-01
01023991,80,5,importati nei limiti del contingente doganale (n. cont. 2),Fr. per capo/capi,1,60.00,2012-01-01
01023999,80,5,altri,Fr. per capo/capi,1,1275.00,2012-01-01
010290,80,2,altri:,,0,,1988-01-01
,10,3,da macello:,,,,2012-01-01
01029012,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per capo/capi,1,95.00,2012-01-01
01029018,80,4,altri,Fr. per capo/capi,1,1275.00,2012-01-01
,10,3,altri:,,,,2012-01-01
01029092,80,4,importati nei limiti del contingente doganale (n. cont. 2),Fr. per capo/capi,1,60.00,2012-01-01
01029098,80,4,altri,Fr. per capo/capi,1,1275.00,2012-01-01
0103,80,1,Animali vivi della specie suina:,,0,,1988-01-01
010310,80,2,riproduttori di razza pura:,,0,,1988-01-01
01031010,80,3,importati nei limiti del contingente doganale (n. cont. 3),Fr. per capo/capi,1,10.00,1995-07-01
01031090,80,3,altri,Fr. per capo/capi,1,1309.00,1995-07-01
,10,2,altri:,,,,1988-01-01
010391,80,3,di peso inferiore a 50 kg:,,0,,1988-01-01
01039110,80,4,importati nei limiti del contingente doganale (n. cont. 3) (altri riproduttori),Fr. per capo/capi,1,63.00,1995-07-01
01039120,80,4,importati nei limiti del contingente doganale (n. cont. 6) (da macello),Fr. per capo/capi,1,63.00,1995-07-01
01039190,80,4,altri,Fr. per capo/capi,1,1309.00,1995-07-01
010392,80,3,di peso uguale o superiore a 50 kg:,,0,,1988-01-01
01039210,80,4,importati nei limiti del contingente doganale (n. cont. 3) (altri riproduttori),Fr. per capo/capi,1,40.00,1995-07-01
01039220,80,4,importati nei limiti del contingente doganale (n. cont. 6) (da macello),Fr. per capo/capi,1,40.00,1995-07-01
01039290,80,4,altri,Fr. per capo/capi,1,1309.00,1995-07-01
0104,80,1,Animali vivi della specie ovina o caprina:,,0,,1988-01-01
010410,80,2,della specie ovina:,,0,,1988-01-01
01041010,80,3,importati nei limiti del contingente doganale (n. cont. 4) (riproduttori),Fr. per capo/capi,1,25.00,1995-07-01
01041020,80,3,importati nei limiti del contingente doganale (n. cont. 5) (da macello),Fr. per capo/capi,1,25.00,1995-07-01
01041090,80,3,altri,Fr. per capo/capi,1,122.00,1995-07-01
010420,80,2,della specie caprina:,,0,,1988-01-01
01042010,80,3,importati nei limiti del contingente doganale (n. cont. 4) (riproduttori),Fr. per capo/capi,1,43.00,1995-07-01
01042020,80,3,importati nei limiti del contingente doganale (n. cont. 5) (da macello),Fr. per capo/capi,1,43.00,1995-07-01
01042090,80,3,altri,Fr. per capo/capi,1,59.50,1995-07-01
0105,80,1,"Galli, galline, anatre, oche, tacchini, tacchine e faraone, vivi, delle specie domestiche:",,0,,1988-01-01
,10,2,di peso non eccedente 185 g:,,,,1988-01-01
01051100,80,3,volatili della specie Gallus domesticus,Fr. per 100 kg peso lordo,1,0.00,1988-01-01
01051200,80,3,tacchini e tacchine,Fr. per 100 kg peso lordo,1,0.00,1996-01-01
01051300,80,3,anatre,Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01051400,80,3,oche,Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01051500,80,3,faraone,Fr. per 100 kg peso lordo,1,0.00,2012-01-01
,10,2,altri:,,,,1988-01-01
01059400,80,3,volatili della specie Gallus domesticus,Fr. per 100 kg peso lordo,1,8.00,2007-01-01
01059900,80,3,altri,Fr. per 100 kg peso lordo,1,8.00,1988-01-01
0106,80,1,Altri animali vivi:,,0,,1988-01-01
,10,2,mammiferi:,,,,2002-01-01
01061100,80,3,primati,Fr. per 100 kg peso lordo,1,0.00,2002-01-01
01061200,80,3,"balene, delfini e marsovini (mammiferi dell'ordine Cetacea); lamantini e dugonghi (mammiferi dell'ordine Sirenia); otarie e foche, leoni marini e trichechi (mammiferi del sottordine Pinnipedia)",Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01061300,80,3,cammelli e altri cammelidi (Camelidae),Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01061400,80,3,conigli e lepri,Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01061900,80,3,altri,Fr. per 100 kg peso lordo,1,0.00,2002-01-01
01062000,80,2,rettili (compresi i serpenti e le tartarughe marine),Fr. per 100 kg peso lordo,1,0.00,2002-01-01
,10,2,uccelli:,,,,2002-01-01
01063100,80,3,uccelli rapaci,Fr. per 100 kg peso lordo,1,0.00,2002-01-01
01063200,80,3,"psittaciformi (compresi i pappagalli, le cocorite, are e cacatua)",Fr. per 100 kg peso lordo,1,0.00,2002-01-01
01063300,80,3,struzzi; emu (Dromaius novaehollandiae),Fr. per 100 kg peso lordo,1,8.00,2012-01-01
010639,80,3,altri:,,0,,2002-01-01
01063910,80,4,selvaggina da penna,Fr. per 100 kg peso lordo,1,8.00,2002-01-01
01063990,80,4,altri,Fr. per 100 kg peso lordo,1,0.00,2002-01-01
,10,2,insetti:,,,,2012-01-01
01064100,80,3,api,Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01064900,80,3,altri,Fr. per 100 kg peso lordo,1,0.00,2012-01-01
01069000,80,2,altri,Fr. per 100 kg peso lordo,1,0.00,2002-01-01
02,80,0,Carni e frattaglie commestibili,,0,,1988-01-01
0201,80,1,"Carni di animali della specie bovina, fresche o refrigerate:",,0,,1988-01-01
020110,80,2,in carcasse o mezzene:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02011011,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
02011019,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
,10,3,altre:,,,,1995-07-01
02011091,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
02011099,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
020120,80,2,altri pezzi non disossati:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02012011,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02012019,80,4,altri,Fr. per 100 kg peso lordo,1,1368.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02012091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02012099,80,4,altri,Fr. per 100 kg peso lordo,1,1368.00,1995-07-01
020130,80,2,disossati:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02013011,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02013019,80,4,altri,Fr. per 100 kg peso lordo,1,2212.00,1995-07-01
,10,3,altri:,,,,1995-07-01
02013091,80,4,importati nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,209.00,1995-07-01
02013099,80,4,altri,Fr. per 100 kg peso lordo,1,2212.00,1995-07-01
0202,80,1,"Carni di animali della specie bovina, congelate:",,0,,1988-01-01
020210,80,2,in carcasse o mezzene:,,0,,1988-01-01
,10,3,di vitello:,,,,1995-07-01
02021011,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
02021019,80,4,altre,Fr. per 100 kg peso lordo,1,758.00,1995-07-01
,10,3,altre:,,,,1995-07-01
02021091,80,4,importate nei limiti del contingente doganale (n. cont. 5),Fr. per 100 kg peso lordo,1,94.00,1995-07-01
