Código ,Designación de la mercancía,Grav.,Selectivo Ad Valorem,Selectivo Específico,ITBIS*
01.01,"Caballos, asnos, mulos y burdéganos, vivos.",,,,
, - Caballos:,,,,
0101.21.00, - - Reproductores de raza pura,0,,,0
0101.29.00, - - Los demás,8,,,0
0101.30.00, - Asnos,8,,,0
0101.90.00, - Los demás ,8,,,0
01.02 ,Animales vivos de la especie bovina.,,,,
, - Bovinos domésticos:,,,,
0102.21.00, - - Reproductores de raza pura,0,,,0
0102.29, - - Los demás:,,,,
0102.29.11, - - - Puros por cruza,0,,,0
0102.29.19, - - - Los demás,0,,,0
, - Bufalos:,,,,
0102.31.00, - - Reproductores de raza pura,0,,,0
0102.39.00, - - Los demás,8,,,0
0102.90.00, - Los demás,8,,,0
01.03,Animales vivos de la especie porcina.,,,,
0103.10.00, - Reproductores de raza pura,0,,,0
, - Los demás:,,,,
0103.91.00, - - De peso inferior a 50 kg,0,,,0
0103.92.00, - - De peso superior o igual a 50 kg ,0,,,0
01.04,Animales vivos de las especies ovina o caprina.,,,,
0104.10, - De la especie ovina:,,,,
0104.10.10, - - Reproductores de raza pura,0,,,0
0104.10.20, - - Puros por cruza,0,,,0
0104.10.90, - - Los demás,0,,,0
0104.20, - De la especie caprina:,,,,
0104.20.10, - - Reproductores de raza pura ,0,,,0
0104.20.20, - - Puros por cruza,0,,,0
0104.20.90, - - Los demás,0,,,0
01.05,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos.",,,,
, - De peso inferior o igual a 185 g:,,,,
0105.11.00, - - Aves de la especie Gallus domesticus ,0,,,0
0105.12.00, - - Pavos (gallipavos) ,8,,,0
0105.13.00, - - Patos,8,,,0
0105.14.00, - - Gansos,8,,,0
0105.15.00, - - Pintadas,8,,,0
, - Los demás:,,,,
0105.94, - - Aves de la especie Gallus domesticus:,,,,
0105.94.10       , - - -  Reproductores avícolas,0,,,0
0105.94.90, - - - Los demás,8,,,0
0105.99, - - Los demás:,,,,
0105.99.10, - - - Reproductores avícolas,0,,,0
0105.99.90, - - - Los demás,0,,,0
01.06    ,Los demás animales vivos.,,,,
, - Mamíferos:,,,,
0106.11.00  , - -  Primates,8,,,0
0106.12.00  ," - - Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)",8,,,0
0106.13.00, - - Camellos y demás camélidos (Camelidae),8,,,0
0106.14.00, - - Conejos y liebres,8,,,0
0106.19, - -  Los demás:,,,,
0106.19.10, - - - Perros ,8,,,0
0106.19.90, - - - Los demás,8,,,0
0106.20.00, - Reptiles (incluidas serpientes y tortugas de mar),8,,,0
, - Aves:,,,,
0106.31.00, - - Aves de rapiña,8,,,0
0106.32.00 ," - - Psitaciformes (incluidos los loros, guacamayos, cacatúas y demás papagayos)",8,,,0
0106.33.00, - - Avestruces; emúes (Dromaius del novaehollandiae),8,,,0
0106.39.00, - - Las demás,8,,,0
, - Insectos:,,,,
0106.41.00, - - Abejas,0,,,0
0106.49.00, - - Los demás,8,,,0
0106.90.00, - Los demás,8,,,0
02.01,"Carne de animales de la especie bovina, fresca o refrigerada.",,,,
0201.10.00, - En canales o medias canales ,40,,,0
