GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,IS_LEAF,START_DATE
0100000000,80,0,ANIMAUX VIVANTS,0,31-12-1971
0101000000,80,1,"Chevaux, ânes, mulets et bardots, vivants",0,01-01-1972
0101210000,10,2,Chevaux,,01-01-2012
0101210000,80,3,reproducteurs de race pure,1,01-01-2012
0101290000,80,3,autres,0,01-01-2012
0101291000,80,4,destinés à la boucherie,1,01-01-2012
0101299000,80,4,autres,1,01-01-2012
0101300000,80,2,Anes,1,01-01-2012
0101900000,80,2,autres,1,01-01-2002
0102000000,80,1,Animaux vivants de l'espèce bovine,0,01-01-1972
0102210000,10,2,Bovins domestiques,,01-01-2012
0102210000,80,3,reproducteurs de race pure,0,01-01-2012
0102211000,80,4,Génisses (bovins femelles qui n'ont jamais vêlé),1,01-01-2012
0102213000,80,4,Vaches,1,01-01-2012
0102219000,80,4,autres,1,01-01-2012
0102290000,80,3,autres,0,01-01-2012
0102290500,80,4,du sous-genre Bibos ou du sous-genre Poephagus,1,01-01-2013
0102291000,10,4,autres,,01-01-2013
0102291000,80,5,d'un poids n'excédant pas 80 kg,0,01-01-2012
0102291010,80,6,jeunes bovins mâles destinés à l'engraissement,1,01-01-2012
0102291020,80,6,"Génisses, autres que celles destinées à la boucherie, des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau",1,01-01-2012
0102291030,80,6,"Génisses, autres que celles destinées à la boucherie, des races du Schwyz et de Fribourg",1,01-01-2012
0102291040,80,6,"Génisses, autres que celles destinées à la boucherie, de la race tachetée du Simmental",1,01-01-2012
0102291050,80,6,"Taureaux, autres que ceux destinés à la boucherie, de la race tachetée du Simmental et des races du Schwyz et de Fribourg",1,01-01-2012
0102291090,80,6,autres,1,01-01-2012
0102292100,10,5,d'un poids excédant 80 kg mais n'excédant pas 160 kg,,01-01-2012
0102292100,80,6,destinés à la boucherie,1,01-01-2012
0102292900,80,6,autres,0,01-01-2012
0102292910,80,7,Jeunes bovins mâles destinés à l'engraissement,1,01-01-2012
0102292920,80,7,"Génisses des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau",1,01-01-2012
0102292930,80,7,Génisses des races du Schwyz et de Fribourg,1,01-01-2012
0102292940,80,7,Génisses de la race tachetée du Simmental,1,01-01-2012
0102292950,80,7,Taureaux de la race tachetée du Simmental et des races du Schwyz et de Fribourg,1,01-01-2012
0102292990,80,7,autres,1,01-01-2012
0102294100,10,5,d'un poids excédant 160 kg mais n'excédant pas 300 kg,,01-01-2012
0102294100,80,6,destinés à la boucherie,1,01-01-2012
0102294900,80,6,autres,0,01-01-2012
0102294910,80,7,Jeunes bovins mâles destinés à l'engraissement,1,01-01-2012
0102294920,80,7,"Génisses et vaches des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau",1,01-01-2012
0102294930,80,7,Génisses et vaches des races du Schwyz et de Fribourg,1,01-01-2012
0102294940,80,7,Génisses et vaches de la race tachetée du Simmental,1,01-01-2012
0102294950,80,7,Taureaux de la race tachetée du Simmental et des races du Shwyz et de Fribourg,1,01-01-2012
0102294990,80,7,autres,1,01-01-2012
0102295100,10,5,d'un poids excédant 300 kg,,01-01-2012
0102295100,20,6,Génisses (bovins femelles qui n'ont jamais vêlé),,01-01-2012
0102295100,80,7,destinées à la boucherie,0,01-01-2012
0102295110,80,8,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320 kg et inférieur ou égal à 470 kg,1,01-01-2012
0102295190,80,8,autres,1,01-01-2012
0102295900,80,7,autres,0,01-01-2012
0102295911,10,8,"des races de montagne suivantes : grise, brune, jaune et tachetée du Pinzgau",,01-01-2012
0102295911,80,9,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320 kg et inférieur ou égal à 470 kg,1,01-01-2012
0102295919,80,9,autres,1,01-01-2012
0102295921,10,8,des races du Schwyz et de Fribourg,,01-01-2012
0102295921,80,9,n'ayant encore aucune dent de remplacement et dont le poids est égal ou supérieur à 320 kg et inférieur ou égal à 470 kg,1,01-01-2012
