GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,IS_LEAF,START_DATE
0100000000,80,0,Live animals,0,1971-12-31
0101000000,80,1,"Live horses, asses, mules and hinnies",0,1972-01-01
0101210000,10,2,Horses,,2012-01-01
0101210000,80,3,Pure-bred breeding animals,1,2012-01-01
0101290000,80,3,Other,0,2012-01-01
0101291000,80,4,For slaughter,1,2012-01-01
0101299000,80,4,Other,1,2012-01-01
0101300000,80,2,Asses,1,2012-01-01
0101900000,80,2,Other,1,2002-01-01
0102000000,80,1,Live bovine animals,0,1972-01-01
0102210000,10,2,Cattle,,2012-01-01
0102210000,80,3,Pure-bred breeding animals,0,2012-01-01
0102211000,80,4,Heifers (female bovines that have never calved),1,2012-01-01
0102213000,80,4,Cows,1,2012-01-01
0102219000,80,4,Other,1,2012-01-01
0102290000,80,3,Other,0,2012-01-01
0102290500,80,4,Of the sub-genus Bibos or of the sub-genus Poephagus,1,2013-01-01
0102291000,10,4,Other,,2013-01-01
0102291000,80,5,Of a weight not exceeding 80 kg,0,2012-01-01
0102291010,80,6,"Young male bovine animals, intended for fattening",1,2012-01-01
0102291020,80,6,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed, other than for slaughter",1,2012-01-01
0102291030,80,6,"Heifers of the Schwyz and Fribourg breeds, other than for slaughter",1,2012-01-01
0102291040,80,6,"Heifers of the spotted Simmental breed, other than for slaughter",1,2012-01-01
0102291050,80,6,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds, other than for slaughter",1,2012-01-01
0102291090,80,6,Other,1,2012-01-01
0102292100,10,5,Of a weight exceeding 80 kg but not exceeding 160 kg,,2012-01-01
0102292100,80,6,For slaughter,1,2012-01-01
0102292900,80,6,Other,0,2012-01-01
0102292910,80,7,"Young male bovine animals, intended for fattening",1,2012-01-01
0102292920,80,7,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",1,2012-01-01
0102292930,80,7,Heifers of the Schwyz and Fribourg breeds,1,2012-01-01
0102292940,80,7,Heifers of the spotted Simmental breed,1,2012-01-01
0102292950,80,7,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",1,2012-01-01
0102292990,80,7,Other,1,2012-01-01
0102294100,10,5,Of a weight exceeding 160 kg but not exceeding 300 kg,,2012-01-01
0102294100,80,6,For slaughter,1,2012-01-01
0102294900,80,6,Other,0,2012-01-01
0102294910,80,7,"Young male bovine animals, intended for fattening",1,2012-01-01
0102294920,80,7,"Heifers and cows of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",1,2012-01-01
0102294930,80,7,Heifers and cows of the Schwyz and Fribourg breeds,1,2012-01-01
0102294940,80,7,Heifers and cows of the spotted Simmental breed,1,2012-01-01
0102294950,80,7,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",1,2012-01-01
0102294990,80,7,Other,1,2012-01-01
0102295100,10,5,Of a weight exceeding 300 kg,,2012-01-01
0102295100,20,6,Heifers (female bovines that have never calved),,2012-01-01
0102295100,80,7,For slaughter,0,2012-01-01
0102295110,80,8,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",1,2012-01-01
0102295190,80,8,Other,1,2012-01-01
0102295900,80,7,Other,0,2012-01-01
0102295911,10,8,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",,2012-01-01
0102295911,80,9,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",1,2012-01-01
0102295919,80,9,Other,1,2012-01-01
0102295921,10,8,Of the Schwyz and Fribourg breeds,,2012-01-01
0102295921,80,9,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",1,2012-01-01
0102295929,80,9,Other,1,2012-01-01
0102295931,10,8,Of the spotted Simmental breed,,2012-01-01
0102295931,80,9,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",1,2012-01-01
0102295939,80,9,Other,1,2012-01-01
0102295991,10,8,Other,,2012-01-01
0102295991,80,9,"Not yet having any permanent teeth, of a weight of not less than 320 kg but not more than 470 kg",1,2012-01-01
0102295999,80,9,Other,1,2012-01-01
0102296100,10,6,Cows,,2012-01-01
0102296100,80,7,For slaughter,1,2012-01-01
0102296900,80,7,Other,0,2012-01-01
0102296910,80,8,"Heifers of the grey, brown or yellow mountain breeds and spotted Pinzgau breed",1,2012-01-01
0102296920,80,8,Of the Schwyz and Fribourg breeds,1,2012-01-01
0102296930,80,8,Of the spotted Simmental breed,1,2012-01-01
0102296990,80,8,Other,1,2012-01-01
0102299100,10,6,Other,,2012-01-01
0102299100,80,7,For slaughter,0,2012-01-01
0102299110,80,8,"Not yet having any permanent teeth, of a weight of not less than 350 kg but not more than 500 kg",1,2012-01-01
0102299190,80,8,Other,1,2012-01-01
0102299900,80,7,Other,0,2012-01-01
0102299921,10,8,"Bulls of the Schwyz, Fribourg and spotted Simmental breeds",,2012-01-01
