GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
01,80,0,Live animals,,0,
0101,80,1,"Live horses, asses, mules and hinnies.",,0,
01012,80,2,Horses :,,0,
010121,80,3,Pure-bred breeding animals,,0,
0101211000,80,4,For farm breeding,U,1,2013-01-01
0101219000,80,4,Other,U,1,2012-01-01
010129,80,3,Other,,0,
0101291000,80,4,Horses for racing,U,1,2012-01-01
0101299000,80,4,Other,U,1,2012-01-01
0101300000,80,2,Asses,U,1,2022-01-01
0101900000,80,2,Other,U,1,2012-01-01
0102,80,1,Live bovine animals.,,0,
01022,80,2,Cattle :,,0,
010221,80,3,Pure-bred breeding animals,,0,
0102211000,80,4,For milk,U,1,2017-01-01
0102212000,80,4,For meat,U,1,2015-01-01
0102219000,80,4,Other,U,1,2012-01-01
010229,80,3,Other,,0,
0102291000,80,4,For milk,U,1,2017-01-01
0102292000,80,4,For meat,U,1,2015-01-01
0102299000,80,4,Other,U,1,2012-01-01
01023,80,2,Buffalo :,,0,
0102310000,80,3,Pure-bred breeding animals,U,1,2014-01-01
010239,80,3,Other,,0,
0102391000,80,4,For milk,U,1,2017-01-01
0102392000,80,4,For meat,U,1,2015-01-01
0102399000,80,4,Other,U,1,2012-01-01
010290,80,2,Other,,0,
0102901000,80,3,Pure-bred breeding animals,U,1,2014-01-01
01029090,80,3,Other,,0,
0102909010,80,4,For milk,U,1,2012-01-01
0102909020,80,4,For meat,U,1,2015-01-01
0102909090,80,4,Other,U,1,2012-01-01
0103,80,1,Live swine.,,0,
0103100000,80,2,Pure-bred breeding animals,U,1,2013-01-01
01039,80,2,Other :,,0,
0103910000,80,3,Weighing less than 50 kg,U,1,2002-01-01
0103920000,80,3,Weighing 50 kg or more,U,1,2002-01-01
0104,80,1,Live sheep and goats.,,0,
010410,80,2,Sheep,,0,
0104101000,80,3,Pure-bred breeding animals,U,1,2013-01-01
0104109000,80,3,Other,U,1,2007-01-01
010420,80,2,Goats,,0,
0104201000,80,3,Milk goats,U,1,2022-01-01
0104209000,80,3,Other,U,1,2002-01-01
0105,80,1,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,0,
01051,80,2,Weighing not more than 185g :,,0,
010511,80,3,Fowls of the species Gallus domesticus,,0,
0105111000,80,4,Pure-bred breeding animals,U,1,2013-01-01
0105119000,80,4,Other,U,1,2002-01-01
