GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
01,80,0,제1류 살아 있는 동물,,0,
0101,80,1,살아 있는 말ㆍ당나귀ㆍ노새ㆍ버새,,0,
01012,80,2,말,,0,
010121,80,3,번식용,,0,
0101211000,80,4,농가 사육용,U,1,2013-01-01
0101219000,80,4,기타,U,1,2012-01-01
010129,80,3,기타,,0,
0101291000,80,4,경주말,U,1,2012-01-01
0101299000,80,4,기타,U,1,2012-01-01
0101300000,80,2,당나귀,U,1,2022-01-01
0101900000,80,2,기타,U,1,2012-01-01
0102,80,1,살아 있는 소,,0,
01022,80,2,축우(畜牛),,0,
010221,80,3,번식용,,0,
0102211000,80,4,젖소,U,1,2017-01-01
0102212000,80,4,육우(肉牛),U,1,2015-01-01
0102219000,80,4,기타,U,1,2012-01-01
010229,80,3,기타,,0,
0102291000,80,4,젖소,U,1,2017-01-01
0102292000,80,4,육우(肉牛),U,1,2015-01-01
0102299000,80,4,기타,U,1,2012-01-01
01023,80,2,버팔로,,0,
0102310000,80,3,번식용,U,1,2014-01-01
010239,80,3,기타,,0,
0102391000,80,4,젖소,U,1,2017-01-01
0102392000,80,4,육우(肉牛),U,1,2015-01-01
0102399000,80,4,기타,U,1,2012-01-01
010290,80,2,기타,,0,
0102901000,80,3,번식용,U,1,2014-01-01
01029090,80,3,기타,,0,
0102909010,80,4,젖소,U,1,2012-01-01
0102909020,80,4,육우(肉牛),U,1,2015-01-01
0102909090,80,4,기타,U,1,2012-01-01
0103,80,1,살아 있는 돼지,,0,
0103100000,80,2,번식용,U,1,2013-01-01
01039,80,2,기타,,0,
0103910000,80,3,중량이 50킬로그램 미만인 것,U,1,2002-01-01
0103920000,80,3,중량이 50킬로그램 이상인 것,U,1,2002-01-01
0104,80,1,살아 있는 면양과 염소,,0,
010410,80,2,면양,,0,
0104101000,80,3,번식용,U,1,2013-01-01
0104109000,80,3,기타,U,1,2007-01-01
010420,80,2,염소,,0,
0104201000,80,3,젖염소,U,1,2022-01-01
0104209000,80,3,기타,U,1,2002-01-01
0105,80,1,살아 있는 가금(家禽)류[닭(갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다)ㆍ오리ㆍ거위ㆍ칠면조ㆍ기니아새로 한정한다],,0,
01051,80,2,중량이 185그램 이하인 것,,0,
010511,80,3,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],,0,
0105111000,80,4,번식용,U,1,2013-01-01
0105119000,80,4,기타,U,1,2002-01-01
0105120000,80,3,칠면조,U,1,2002-01-01
010513,80,3,오리,,0,
0105131000,80,4,번식용,U,1,2013-01-01
0105139000,80,4,기타,U,1,2012-01-01
0105140000,80,3,거위,U,1,2012-01-01
0105150000,80,3,기니아새,U,1,2012-01-01
01059,80,2,기타,,0,
010594,80,3,닭[갈루스 도메스티쿠스(Gallus domesticus)종으로 한정한다],,0,
0105941000,80,4,번식용,U,1,2013-01-01
0105949000,80,4,기타,U,1,2007-01-01
010599,80,3,기타,,0,
01059910,80,4,오리,,0,
0105991010,80,5,번식용,U,1,2013-01-01
0105991090,80,5,기타,U,1,2007-01-01
0105992000,80,4,칠면조,U,1,2002-01-01
0105999000,80,4,기타,U,1,2002-01-01
0106,80,1,그 밖의 살아 있는 동물,,0,
01061,80,2,포유동물,,0,
0106110000,80,3,영장류,U,1,2002-01-01
010612,80,3,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물), 물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)",,0,
0106121000,80,4,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)",U,1,2022-01-01
0106122000,80,4,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)",U,1,2022-01-01
0106130000,80,3,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],U,1,2022-01-01
010614,80,3,토끼,,0,
0106141000,80,4,번식용,U,1,2013-01-01
0106149000,80,4,기타,U,1,2012-01-01
010619,80,3,기타,,0,
0106191000,80,4,개,U,1,2002-01-01
0106193000,80,4,사슴,U,1,2002-01-01
0106194000,80,4,곰,U,1,2002-01-01
01061950,80,4,여우,,0,
0106195010,80,5,번식용,U,1,2013-01-01
0106195090,80,5,기타,U,1,2007-01-01
01061960,80,4,밍크,,0,
0106196010,80,5,번식용,U,1,2013-01-01
0106196090,80,5,기타,U,1,2007-01-01
0106199000,80,4,기타,U,1,2002-01-01
010620,80,2,파충류(뱀과 거북을 포함한다),,0,
0106201000,80,3,뱀,U,1,2002-01-01
0106202000,80,3,자라,U,1,2002-01-01
0106203000,80,3,거북,U,1,2002-01-01
0106209000,80,3,기타,U,1,2017-01-01
01063,80,2,조류,,0,
