GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
01,80,0,Chapter 1 live animals,,0,
0101,80,1,"Live horses, asses, mules and hinnies",,0,
01012,80,2,Horses :,,0,
010121,80,3,Pure-bred breeding animals,,0,
01012100,80,4,"Live horses, pure-bred breeding animals",,0,
01012100003,80,5,"Live horses, pure-bred breeding animals",HED,1,
010129,80,3,Other,,0,
01012900,80,4,Other live horses,,0,
01012900005,80,5,Other live horses,HED,1,
010130,80,2,Asses,,0,
01013000,80,3,Live asses,,0,
01013000002,80,4,Live asses,HED,1,
010190,80,2,Other,,0,
01019000,80,3,Live mules and hinnies,,0,
01019000009,80,4,live mules and hinnies,HED,1,
0102,80,1,Live bovine animals,,0,
01022,80,2,Cattle :,,0,
010221,80,3,Pure-bred breeding animals,,0,
01022100,80,4,"Live cattle, pure-bred breeding animals",,0,
01022100002,80,5,"Live cattle, pure-bred breeding animals",HED,1,
010229,80,3,Other,,0,
01022900,80,4,Other live cattle,,0,
01022900004,80,5,Other live cattle,HED,1,
01023,80,2,Buffalo :,,0,
010231,80,3,Pure-bred breeding animals,,0,
01023100,80,4,"Live buffalo, pure-bred breeding animals",,0,
01023100000,80,5,"Live buffalo, pure-bred breeding animals",HED,1,
010239,80,3,Other,,0,
01023900,80,4,Other live  buffalo,,0,
01023900002,80,5,Other live  buffalo,HED,1,
010290,80,2,Other,,0,
01029010,80,3,"Other live bovine animals, pure-bred breeding animals",,0,
01029010006,80,4,"Other live bovine animals, pure-bred breeding animals",HED,1,
01029090,80,3,Other live bovine animals,,0,
01029090009,80,4,Other live bovine animals,HED,1,
0103,80,1,Live swine,,0,
010310,80,2,Pure-bred breeding animals,,0,
01031000,80,3,"Live swine, pure-bred breeding animals",,0,
01031000004,80,4,"Live swine, pure-bred breeding animals",HED,1,
01039,80,2,Other:,,0,
010391,80,3,Weighing less than 50 kg,,0,
01039100,80,4,"Live swine, weighing less than 50 kg, other than pure-bred breeding animals",,0,
01039100006,80,5,"Live swine, weighing less than 50 kg, other than pure-bred breeding animals",HED,1,
010392,80,3,Weighing 50 kg or more,,0,
01039200,80,4,"Live swine, weighing 50kg or more, other than pure-bred breeding animals",,0,
01039200005,80,5,"Live swine, weighing 50 kg or more, other than pure-bred breeding animals",HED,1,
0104,80,1,Live sheep and goats,,0,
010410,80,2,Sheep,,0,
01041000,80,3,Live sheep,,0,
01041000003,80,4,Live sheep,HED,1,
010420,80,2,Goats,,0,
01042000,80,3,Live goats,,0,
01042000109,80,4,"Live goats, pure-bred breeding animals",HED,1,
01042000207,80,4,"Live goats, other than pure-bred breeding animals",HED,1,
0105,80,1,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls",,0,
01051,80,2,Weighing not more than 185 g:,,0,
010511,80,3,Fowls of the species Gallus domesticus,,0,
01051110,80,4,"Live fowls, pure-bred breeding animals, weighing not more than 185 g",,0,
01051110009,80,5,"Live fowls, pure-bred breeding animals, weighing not more than 185 g",KGM,1,
01051120,80,4,"Live fowls, other than pure-bred breeding animals, weighing not more than 185 g",,0,
01051120007,80,5,"Live fowls, other than pure-bred breeding animals, weighing not more than 185 g",KGM,1,
010512,80,3,Turkeys,,0,
01051210,80,4,"Live turkeys, pure-bred breeding animals, weighing not more than 185 g",,0,
01051210008,80,5,"Live turkeys, pure-bred breeding animals, weighing not more than 185 g",KGM,1,
01051220,80,4,"Live turkeys, other than pure-bred breeding animals, weighing not more than 185 g",,0,
01051220006,80,5,"Live turkeys, other than pure-bred breeding animals, weighing not more than 185 g",KGM,1,
010513,80,3,Ducks,,0,
01051310,80,4,"Live ducks, pure-bred breeding animals, weighing not more than 185 g",,0,
01051310007,80,5,"Live ducks, pure-bred breeding animals, weighing not more than 185 g",KGM,1,
01051390,80,4,"Live ducks, other than pure-bred breeding animals, weighing not more than 185 g",,0,
01051390000,80,5,"Live ducks, other than pure-bred breeding animals, weighing not more than 185 g",KGM,1,
010514,80,3,Geese,,0,
01051410,80,4,"Live geese,  pure-bred breeding animals, weighing not more than 185 g",,0,
01051410006,80,5,"Live geese,  pure-bred breeding animals, weighing not more than 185 g",KGM,1,
01051490,80,4,"Live geese, other than pure-bred breeding animals, weighing not more than 185 g",,0,
01051490009,80,5,"Live geese, other than pure-bred breeding animals, weighing not more than 185 g",KGM,1,
010515,80,3,Guinea fowls,,0,
01051510,80,4,"Live guinea fowls, pure-bred breeding animals, weighing not more than 185 g",,0,
01051510005,80,5,"Live guinea fowls, pure-bred breeding animals, weighing not more than 185 g",KGM,1,
01051590,80,4,"Live guinea fowls, other than pure-bred breeding animals, weighing not more than 185 g",,0,
01051590008,80,5,"Live guinea fowls, other than pure-bred breeding animals, weighing not more than 185 g",KGM,1,
01059,80,2,Other:,,0,
010594,80,3,Fowls of the species Gallus domesticus,,0,
01059410,80,4,"Live fowls of the species Gallus domesticus, pure-bred breeding animals, weighing more than185 g",,0,
01059410009,80,5,"Live fowls of the species Gallus domesticus, pure-bred breeding animals, weighing more than 185 g",KGM,1,
01059420,80,4,"Live fowls of the species Gallus domesticus, other than pure-bred breeding animals weighing more than185 g",,0,
01059420007,80,5,"Live fowls of the species Gallus domesticus, other than pure-bred breeding animals weighing more than 185 g",KGM,1,
010599,80,3,Other,,0,
01059910,80,4,"Live ducks, geese, turkeys, guinea fowls, pure-bred breeding animals, weighing more than 185 g",,0,
01059910004,80,5,"Live ducks, geese, turkeys, guinea fowls, pure-bred breeding animals, weighing more than 185 g",KGM,1,
01059920,80,4,"Live ducks, geese, turkeys, guinea fowls, other than pure-bred breeding animals, weighing more than 185 g",,0,
01059920002,80,5,"Live ducks, geese, turkeys, guinea fowls, other than pure-bred breeding animals, weighing more than 185 g",KGM,1,
0106,80,1,Other live animals,,0,
01061,80,2,Mammals:,,0,
010611,80,3,Primates,,0,
01061100,80,4,Mammals of the order Primates,,0,
01061100108,80,5,Formosan macaque (Macaca cyclopis),KGM,1,
01061100901,80,5,Other mammals of the order Primates,KGM,1,
010612,80,3,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,
01061210,80,4,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",,0,
01061210007,80,5,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)",KGM,1,
01061220,80,4,"Seals, sea lions and walruses (mammals of the suborder Pinnipedia)",,0,
01061220005,80,5,"Seals, sea lions and walruses (mammals of the suborder Pinn ipedia)",KGM,1,
010613,80,3,Camels and other camelids (Camelidae),,0,
01061300,80,4,Live camels and other camelids (Camelidae),,0,
01061300008,80,5,Live camels and other camelids (Camelidae),KGM,1,
010614,80,3,Rabbits and hares,,0,
01061410,80,4,Live rabbits and hares (used for human food),,0,
01061410005,80,5,Live rabbits and hares (used for human food),KGM,1,
01061490,80,4,Other live rabbits and hares,,0,
01061490008,80,5,Other live rabbits and hares,HED,1,
010619,80,3,Other,,0,
01061910,80,4,Livestock (used for human food),,0,
01061910215,80,5,"Deer, pure-bred breeding animals",KGM,1,
01061910224,80,5,"Deer, other than pure-bred breeding animals",KGM,1,
01061910901,80,5,Other livestock (used for human food),KGM,1,
01061920,80,4,Other livestock,,0,
01061920115,80,5,"Pit Bull Terrier:American Pit Bull Terrier(or American Pit Bull), American Staffordshire Terrier",HED,1,
01061920197,80,5,"Other Dogs, live",HED,1,
01061920204,80,5,"Cats, live",HED,1,
01061920909,80,5,Other livestock,HED,1,
01061930,80,4,"Other aquatic animals , live",,0,
01061930006,80,5,"Other aquatic animals, live",KGM,1,
01061940,80,4,"Wild animals , live",,0,
01061940111,80,5,"Tigers, live",KGM,1,
01061940120,80,5,"Lions, live",KGM,1,
01061940139,80,5,"Leopard, live",KGM,1,
01061940148,80,5,"Bears, live",KGM,1,
01061940157,80,5,"Elephants, live",KGM,1,
01061940175,80,5,"Giraffe, live",KGM,1,
01061940184,80,5,"Rhinocero, live",KGM,1,
01061940193,80,5,Raccoon (Procyon lotor),KGM,1,
01061940219,80,5,"Squirrels, live",KGM,1,
01061940228,80,5,"Kangaroo, live",KGM,1,
01061940237,80,5,Myocastoridae spp.,KGM,1,
01061940308,80,5,"Hippopotami, live",KGM,1,
01061940406,80,5,"Deer, live",KGM,1,
01061940905,80,5,"Other wild animals, live",KGM,1,
01061990,80,4,Other mammals,,0,
01061990003,80,5,Other mammals,KGM,1,
010620,80,2,Reptiles (including snakes and turtles),,0,
01062010,80,3,"Snakes, live",,0,
01062010114,80,4,"Malayopython reticulatus, Python bivittatus, Python natalensis, Python sebae",KGM,1,
01062010123,80,4,Eunectes spp.,KGM,1,
01062010132,80,4,Boiga irregularis,KGM,1,
01062010141,80,4,Viperidae spp.,KGM,1,
01062010150,80,4,Elapidae spp.,KGM,1,
01062010999,80,4,Other snakes,KGM,1,
