GOODS_CODE,SUFFIX,INDENT,DESCRIPTION,UNIT,IS_LEAF,START_DATE
01,80,0,第１章　活動物,,0,
0101,80,1,馬、驢、騾及駃騠,,0,
01012,80,2,馬︰,,0,
010121,80,3,純種繁殖用,,0,
01012100,80,4,馬，純種繁殖用,,0,
01012100003,80,5,馬，純種繁殖用,HED,1,
010129,80,3,其他,,0,
01012900,80,4,其他馬,,0,
01012900005,80,5,其他馬,HED,1,
010130,80,2,驢,,0,
01013000,80,3,驢,,0,
01013000002,80,4,驢,HED,1,
010190,80,2,其他,,0,
01019000,80,3,騾及駃騠,,0,
01019000009,80,4,騾及駃騠,HED,1,
0102,80,1,牛,,0,
01022,80,2,牛︰,,0,
010221,80,3,純種繁殖用,,0,
01022100,80,4,牛，純種繁殖用,,0,
01022100002,80,5,牛，純種繁殖用,HED,1,
010229,80,3,其他,,0,
01022900,80,4,其他牛,,0,
01022900004,80,5,其他牛,HED,1,
01023,80,2,水牛︰,,0,
010231,80,3,純種繁殖用,,0,
01023100,80,4,水牛，純種繁殖用,,0,
01023100000,80,5,水牛，純種繁殖用,HED,1,
010239,80,3,其他,,0,
01023900,80,4,其他水牛,,0,
01023900002,80,5,其他水牛,HED,1,
010290,80,2,其他,,0,
01029010,80,3,其他牛，純種繁殖用,,0,
01029010006,80,4,其他牛，純種繁殖用,HED,1,
01029090,80,3,其他牛,,0,
01029090009,80,4,其他牛,HED,1,
0103,80,1,豬,,0,
010310,80,2,純種繁殖用,,0,
01031000,80,3,豬，純種繁殖用,,0,
01031000004,80,4,豬，純種繁殖用,HED,1,
01039,80,2,－其他︰,,0,
010391,80,3,重量少於５０公斤者,,0,
01039100,80,4,豬，重量少於５０公斤者，純種繁殖用除外,,0,
01039100006,80,5,豬，重量少於５０公斤者，純種繁殖用除外,HED,1,
010392,80,3,重量５０公斤及以上者,,0,
01039200,80,4,豬，重量５０公斤及以上者，純種繁殖用除外,,0,
01039200005,80,5,豬，重量５０公斤及以上者，純種繁殖用除外,HED,1,
0104,80,1,綿羊及山羊,,0,
010410,80,2,綿羊,,0,
01041000,80,3,綿羊,,0,
01041000003,80,4,綿羊,HED,1,
010420,80,2,山羊,,0,
01042000,80,3,山羊,,0,
01042000109,80,4,山羊，純種繁殖用,HED,1,
01042000207,80,4,山羊，純種繁殖用除外,HED,1,
0105,80,1,家禽，係指雞、鴨、鵝、火雞及珍珠雞,,0,
01051,80,2,－重量１８５公克及以下者︰,,0,
010511,80,3,飼養之雞,,0,
01051110,80,4,雞，純種繁殖用，重量１８５公克及以下者,,0,
01051110009,80,5,雞，純種繁殖用，重量１８５公克及以下者,KGM,1,
01051120,80,4,雞，純種繁殖用除外，重量１８５公克及以下者,,0,
01051120007,80,5,雞，純種繁殖用除外，重量１８５公克及以下者,KGM,1,
010512,80,3,火雞,,0,
01051210,80,4,火雞，純種繁殖用，重量１８５公克及以下者,,0,
01051210008,80,5,火雞，純種繁殖用，重量１８５公克及以下者,KGM,1,
01051220,80,4,火雞，純種繁殖用除外，重量１８５公克及以下者,,0,
01051220006,80,5,火雞，純種繁殖用除外，重量１８５公克及以下者,KGM,1,
010513,80,3,鴨,,0,
01051310,80,4,鴨，純種繁殖用，重量185公克及以下者,,0,
01051310007,80,5,鴨，純種繁殖用，重量１８５公克及以下者,KGM,1,
01051390,80,4,鴨，純種繁殖用除外，重量185公克及以下者,,0,
01051390000,80,5,鴨，純種繁殖用除外，重量１８５公克及以下者,KGM,1,
010514,80,3,鵝,,0,
01051410,80,4,鵝，純種繁殖用，重量185公克及以下者,,0,
01051410006,80,5,鵝，純種繁殖用，重量１８５公克及以下者,KGM,1,
01051490,80,4,鵝，純種繁殖用除外，重量185公克及以下者,,0,
01051490009,80,5,鵝，純種繁殖用除外，重量１８５公克及以下者,KGM,1,
010515,80,3,珍珠雞,,0,
01051510,80,4,珍珠雞，純種繁殖用，重量185公克及以下者,,0,
01051510005,80,5,珍珠雞，純種繁殖用，重量１８５公克及以下者,KGM,1,
01051590,80,4,珍珠雞，純種繁殖用除外，重量185公克及以下者,,0,
01051590008,80,5,珍珠雞，純種繁殖用除外，重量１８５公克及以下者,KGM,1,
01059,80,2,－其他︰,,0,
010594,80,3,飼養之雞,,0,
01059410,80,4,飼養之雞，純種繁殖用，重量１８５公克以上者,,0,
01059410009,80,5,飼養之雞，純種繁殖用，重量１８５公克以上者,KGM,1,
01059420,80,4,飼養之雞，純種繁殖用除外，重量１８５公克以上者,,0,
01059420007,80,5,飼養之雞，純種繁殖用除外，重量１８５公克以上者,KGM,1,
010599,80,3,其他,,0,
01059910,80,4,鴨、鵝、火雞、珍珠雞，純種繁殖用，重量１８５公克以上者,,0,
01059910004,80,5,鴨、鵝、火雞、珍珠雞，純種繁殖用，重量１８５公克以上者,KGM,1,
01059920,80,4,鴨、鵝、火雞、珍珠雞，純種繁殖用除外，重量１８５公克以上者,,0,
01059920002,80,5,鴨、鵝、火雞、珍珠雞，純種繁殖用除外，重量１８５公克以上者,KGM,1,
0106,80,1,其他活動物,,0,
01061,80,2,－哺乳類動物：,,0,
010611,80,3,靈長目,,0,
01061100,80,4,靈長目之哺乳類動物,,0,
01061100108,80,5,臺灣獼猴,KGM,1,
01061100901,80,5,其他靈長目之哺乳類動物,KGM,1,
010612,80,3,鯨、海豚及鼠海豚（鯨目之哺乳類動物）；海牛及儒艮（海牛目之哺乳類動物）；海豹、海獅及海象（鰭腳亞目之哺乳類動物）,,0,
01061210,80,4,鯨、海豚及鼠海豚（鯨目之哺乳類動物）；海牛及儒艮（海牛目之哺乳類動物）,,0,
01061210007,80,5,鯨、海豚及鼠海豚（鯨目之哺乳類動物）；海牛及儒艮（海牛目之哺乳類動物）,KGM,1,
01061220,80,4,海豹、海獅及海象（鰭腳亞目之哺乳類動物）,,0,
01061220005,80,5,海豹、海獅及海象（鰭腳亞目之哺乳類動物）,KGM,1,
010613,80,3,駱駝及其他駱駝科動物,,0,
01061300,80,4,駱駝及其他駱駝科動物,,0,
01061300008,80,5,駱駝及其他駱駝科動物,KGM,1,
010614,80,3,家兔及野兔,,0,
01061410,80,4,家兔及野兔（食用）,,0,
01061410005,80,5,家兔及野兔（食用）,KGM,1,
01061490,80,4,其他家兔及野兔,,0,
01061490008,80,5,其他家兔及野兔,HED,1,
010619,80,3,其他,,0,
01061910,80,4,飼養活畜（食用）,,0,
01061910215,80,5,鹿，純種繁殖用,KGM,1,
01061910224,80,5,鹿，純種繁殖用除外,KGM,1,
01061910901,80,5,其他飼養活畜（食用）,KGM,1,
01061920,80,4,其他飼養活畜,,0,
01061920115,80,5,比特犬：美國比特鬥牛犬、美國史大佛夏牛頭犬,HED,1,
01061920197,80,5,其他犬,HED,1,
01061920204,80,5,貓,HED,1,
01061920909,80,5,其他飼養活畜,HED,1,
01061930,80,4,其他水產活動物,,0,
01061930006,80,5,其他水產活動物,KGM,1,
01061940,80,4,活獸畜,,0,
01061940111,80,5,老虎,KGM,1,
01061940120,80,5,獅子,KGM,1,
01061940139,80,5,豹,KGM,1,
01061940148,80,5,熊,KGM,1,
01061940157,80,5,象,KGM,1,
01061940175,80,5,長頸鹿,KGM,1,
01061940184,80,5,犀牛,KGM,1,
01061940193,80,5,浣熊,KGM,1,
01061940219,80,5,松鼠,KGM,1,
01061940228,80,5,袋鼠,KGM,1,
01061940237,80,5,美洲巨水鼠科,KGM,1,
01061940308,80,5,河馬,KGM,1,
01061940406,80,5,鹿,KGM,1,
01061940905,80,5,其他活獸畜,KGM,1,
01061990,80,4,其他哺乳類動物,,0,
01061990003,80,5,其他哺乳類動物,KGM,1,
010620,80,2,爬蟲類（包括蛇及龜）,,0,
01062010,80,3,活蛇,,0,
01062010114,80,4,網紋蟒、緬甸蟒、南非岩蟒、非洲岩蟒,KGM,1,
01062010123,80,4,綠水蚺屬,KGM,1,
01062010132,80,4,棕樹蛇,KGM,1,
01062010141,80,4,蝮蛇科,KGM,1,
01062010150,80,4,蝙蝠蛇科,KGM,1,
01062010999,80,4,其他活蛇,KGM,1,
01062020,80,3,活龜,,0,
01062020103,80,4,鱉（甲魚）及苗,KGM,1,
01062020210,80,4,豹紋陸龜（含其亞種）,KGM,1,
01062020229,80,4,蘇卡達象龜（含其亞種）,KGM,1,
01062020238,80,4,貝氏絞陸龜（含其亞種）,KGM,1,
01062020292,80,4,其他陸龜（象龜）科,KGM,1,
01062020318,80,4,紅耳龜、紅肚龜（均不含人工培育之白化、黃化、黑化品系）,KGM,1,
01062020327,80,4,鱷龜科,KGM,1,
01062020906,80,4,其他活龜,KGM,1,
01062090,80,3,其他爬蟲類,,0,
01062090215,80,4,變色蜥屬,KGM,1,
01062090224,80,4,綠水龍、彩虹飛蜥、彼德飛蜥,KGM,1,
01062090233,80,4,瑞氏大守宮、大守宮、脊斑守宮,KGM,1,
01062090242,80,4,黑白南美蜥（不含人工培育之白化品系）,KGM,1,
01062090251,80,4,黑刺尾鬣蜥、美洲鬣蜥屬,KGM,1,
01062090901,80,4,其他爬蟲類,KGM,1,
01063,80,2,－鳥類：,,0,
010631,80,3,猛禽,,0,
01063100,80,4,猛禽,,0,
01063100006,80,5,猛禽,KGM,1,
010632,80,3,鸚鵡目（包括鸚鵡、長尾鸚鵡、金剛鸚鵡、鳳頭鸚鵡）,,0,
01063200,80,4,鸚鵡目（包括鸚鵡、長尾鸚鵡、金剛鸚鵡、鳳頭鸚鵡）,,0,
01063200005,80,5,鸚鵡目﹝包括鸚鵡、長尾鸚鵡、金剛鸚鵡、鳳頭鸚鵡﹞,KGM,1,
010633,80,3,駝鳥、鴯鶓,,0,
01063300,80,4,駝鳥、鴯鶓,,0,
01063300102,80,5,駝鳥及鴯鶓，純種繁殖用,KGM,1,
01063300200,80,5,其他駝鳥及鴯鶓,KGM,1,
010639,80,3,其他,,0,
01063900,80,4,其他鳥類,,0,
01063900124,80,5,十姊妹,KGM,1,
01063900133,80,5,金絲雀,KGM,1,
01063900142,80,5,錦靜鳥,KGM,1,
01063900151,80,5,小紋鳥,KGM,1,
01063900160,80,5,文鳥,KGM,1,
01063900179,80,5,胡錦鳥,KGM,1,
01063900213,80,5,錦花鳥,KGM,1,
01063900222,80,5,鴿,KGM,1,
01063900231,80,5,鵪鶉,KGM,1,
01063900302,80,5,其他活禽（不包括第０１０５節之活禽）,KGM,1,
01063900311,80,5,中國藍鵲,KGM,1,
01063900320,80,5,埃及聖䴉,KGM,1,
01063900339,80,5,斑馬鳩,KGM,1,
01063900348,80,5,環頸雉,KGM,1,
01063900357,80,5,灰喜鵲,KGM,1,
01063900366,80,5,白腰鵲鴝、鵲鴝,KGM,1,
01063900375,80,5,大陸畫眉、白頰噪眉、黑臉噪眉、黑喉噪眉、白臉噪眉,KGM,1,
01063900384,80,5,灰頭椋鳥、輝椋鳥、葡萄胸椋鳥、白尾八哥、林八哥、家八哥、泰國八哥、黑領椋鳥,KGM,1,
01063900393,80,5,織雀科,KGM,1,
01063900419,80,5,紅耳鵯,KGM,1,
01063900428,80,5,針尾維達鳥,KGM,1,
01063900437,80,5,爪哇文鳥、白頭文鳥、白喉文鳥、橫斑梅花雀、橙頰梅花雀,KGM,1,
01063900446,80,5,繡眼屬,KGM,1,
01063900909,80,5,其他活鳥類,KGM,1,
01064,80,2,昆蟲︰,,0,
010641,80,3,蜂,,0,
01064100,80,4,蜂,,0,
01064100004,80,5,蜂,KGM,1,
010649,80,3,其他,,0,
01064900,80,4,其他活昆蟲,,0,
01064900104,80,5,金龜（綠花金龜屬，叉角花金龜屬，扁角花金龜屬，角金龜屬，蛀犀角金龜屬，長臂金龜屬）,KGM,1,
01064900113,80,5,藍豔騷金龜,KGM,1,
01064900202,80,5,鍬形蟲（大鍬形蟲屬，肥角鍬形蟲屬，鋸鍬形蟲屬）,KGM,1,
01064900300,80,5,收穫蟻屬、巨山蟻屬、四擬家蟻屬、迷盾針蟻屬、彎顎泛蟻屬、琉璃蟻屬、扁琉璃蟻屬、切葉蟻屬、擬切葉家蟻屬、掠針蟻屬、蜜瓶家蟻屬、虹琉璃蟻屬、毛收割家蟻屬、大頭家蟻屬、擬新針蟻屬、長腳家蟻屬、棘山蟻屬、編織蟻屬、山蟻屬、鋸針蟻屬、顎針蟻屬、雙稜針蟻屬、齒針蟻屬,KGM,1,
01064900408,80,5,粗腿金花蟲,KGM,1,
01064900505,80,5,巨草螳屬、虹螳屬、侍螳屬、小跳螳屬（異跳螳）、廣緣螳屬、姬螳屬、巨腿螳屬、齒螳屬、奇葉螳屬、原螳屬、斧螳屬、螳屬（薄翅螳）、半翅螳屬、靜螳屬（污斑螳）、刀螳屬、矮斧螳屬、尖眺螳屬（或稱南美綠螳屬）、偽螳屬（或稱擬螳屬）、巨螳屬、鍬螳屬、澳洲枝螳屬、斑光螳、闊臂螳、萊姆螳屬、斑光螳屬、透翅巨螳、瘦螳屬、小弱爪螳屬,KGM,1,
01064900907,80,5,其他活昆蟲,KGM,1,
010690,80,2,其他,,0,
01069000,80,3,其他活動物,,0,
01069000111,80,4,花狹口蛙屬、溫室蟾屬、海蟾蜍、泛樹蛙屬、古巴樹蛙,KGM,1,
01069000193,80,4,其他蛙及苗,KGM,1,
