prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
02011005,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02011010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02011050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012002,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012004,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012006,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02012080,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013002,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013004,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013006,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02013080,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02021005,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02021010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02021050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022002,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022004,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022006,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02022080,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023002,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023004,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023006,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02023080,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02061000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02062100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02062200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02062900,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
02102000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
05080000,2025_rev_7,2026_rev_10,NA,NA,NA
07020020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07020040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07020060,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07099905,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07099910,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07108015,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07119030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07123200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07123410,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07123420,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07133420,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07133440,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07141010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07141020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07144010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07144020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07144050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07144060,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07145010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07145020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07145060,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07149042,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07149044,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07149046,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07149048,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
07149061,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08011100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08011200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08011901,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08012100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08012200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08013100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08013200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08024100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08024200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08026100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08026200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08027010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08027020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08028010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08028020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08029110,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08029190,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08029210,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08029290,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08031010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08031020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08039000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08043020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08043040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08043060,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08044000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08045040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08045060,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08045080,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08051000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08055030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08055040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08072000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08084020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08084040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08105000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08106000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08109027,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08109046,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08119010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08119025,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08119030,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08119040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08119050,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08119052,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
08129040,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09011100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09011200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09012100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09012200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09019010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09019020,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09021010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09021090,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09022010,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09022090,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09023000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09024000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09030000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09041100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09041200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042120,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042140,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042160,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042180,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042220,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042240,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042273,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042276,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09042280,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09051000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09052000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09061100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09061900,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09062000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09071000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09072000,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09081100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09081200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09082100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09082220,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09082240,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09083100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09083200,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
09092100,2025_rev_29,2026_rev_10,2025-11-13,NA,NA
