revision,ch99_code,note,proclamations,executive_orders,fr_cites,source
2023_rev_10,9903.88.01,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.02,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.03,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.04,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.05,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.06,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.07,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.08,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.09,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.10,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.11,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.12,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.13,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.14,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.15,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.16,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.17,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.18,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.19,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.20,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.21,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.22,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.23,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.24,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.25,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.26,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.27,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.28,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.33,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.34,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.35,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.36,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.37,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.38,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.39,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.40,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.41,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.42,20,,,85 FR 16987,hts_note
2023_rev_10,9903.88.43,20,,,85 FR 16987,hts_note
