# =============================================================================
# Country-specific IEEPA EO exempt products
# =============================================================================
#
# Generated by scripts/scrape_country_eo_annexes.R
# Last updated: 2026-04-27
#
# Schema:
#   ch99_code:             country EO heading (e.g., 9903.01.77 = Brazil)
#   hts10:                 HTS code exempt from this EO (8-digit prefix; all 10-digit children covered)
#   effective_date_start:  ISO date the exemption began
#   effective_date_end:    ISO date the exemption ended (empty = still active)
#   source:                EO/proclamation/CBP CSMS reference
#   note:                  short description
#
# To regenerate: Rscript scripts/scrape_country_eo_annexes.R
# =============================================================================
ch99_code,hts10,effective_date_start,effective_date_end,source,note
9903.01.77,0801.21.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2008.30.35,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2009.11.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2009.12.25,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2009.12.45,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2525.10.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2601.11.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2601.12.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2609.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2701.11.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2701.12.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2701.19.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2701.20.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2702.10.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2702.20.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2703.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
9903.01.77,2704.00.00,2025-08-06,,"EO 14323 Annex I (original, pre-Nov-13)",HTS8 subheading; all 10-digit children covered
