gn_name,census_code,note
Cape Verde,7643,Cabo Verde spelling variant (GSP)
Republic of Cape Verde,7643,Cabo Verde long-form (AGOA)
Bosnia and Hercegovina,4793,Herzegovina spelling variant (HTS uses Hercegovina)
Congo (Brazzaville),7630,Republic of the Congo (GSP)
Republic of Congo,7630,Republic of the Congo long-form (AGOA)
Congo (Kinshasa),7660,Democratic Republic of the Congo (GSP)
Democratic Republic of the Congo,7660,Democratic Republic of the Congo long-form (AGOA)
Gabonese Republic,7550,Gabon long-form (AGOA)
United Republic of Tanzania,7830,Tanzania long-form (AGOA)
"Virgin Islands, British",2482,British Virgin Islands word-order variant (CBI)
Russian Federation,4621,Russia long-form (General Note 3(b) Column 2)
Türkiye,4890,Turkey official name since 2022 (HTS uses Türkiye in note 52 headings)
Macau,5660,Macao spelling variant
