country_name,revision,source_url,fallback_from
Republic of Belarus,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
North Korea,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
Cuba,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
Russian Federation,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
Republic of Belarus,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
North Korea,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
Cuba,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
Russian Federation,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
Republic of Belarus,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
North Korea,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
Cuba,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
Russian Federation,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
Republic of Belarus,2024_rev_1,reststop General+Note+3 @ 2024HTSRev1,NA
North Korea,2024_rev_1,reststop General+Note+3 @ 2024HTSRev1,NA
Cuba,2024_rev_1,reststop General+Note+3 @ 2024HTSRev1,NA
Russian Federation,2024_rev_1,reststop General+Note+3 @ 2024HTSRev1,NA
Republic of Belarus,2024_rev_2,reststop General+Note+3 @ 2024HTSRev2,NA
North Korea,2024_rev_2,reststop General+Note+3 @ 2024HTSRev2,NA
Cuba,2024_rev_2,reststop General+Note+3 @ 2024HTSRev2,NA
Russian Federation,2024_rev_2,reststop General+Note+3 @ 2024HTSRev2,NA
Republic of Belarus,2024_rev_3,reststop General+Note+3 @ 2024HTSRev3,NA
North Korea,2024_rev_3,reststop General+Note+3 @ 2024HTSRev3,NA
Cuba,2024_rev_3,reststop General+Note+3 @ 2024HTSRev3,NA
Russian Federation,2024_rev_3,reststop General+Note+3 @ 2024HTSRev3,NA
Republic of Belarus,2024_rev_5,reststop General+Note+3 @ 2024HTSRev5,NA
North Korea,2024_rev_5,reststop General+Note+3 @ 2024HTSRev5,NA
Cuba,2024_rev_5,reststop General+Note+3 @ 2024HTSRev5,NA
Russian Federation,2024_rev_5,reststop General+Note+3 @ 2024HTSRev5,NA
Republic of Belarus,2024_rev_6,reststop General+Note+3 @ 2024HTSRev6,NA
North Korea,2024_rev_6,reststop General+Note+3 @ 2024HTSRev6,NA
Cuba,2024_rev_6,reststop General+Note+3 @ 2024HTSRev6,NA
Russian Federation,2024_rev_6,reststop General+Note+3 @ 2024HTSRev6,NA
Republic of Belarus,2024_rev_7,reststop General+Note+3 @ 2024HTSRev7,NA
North Korea,2024_rev_7,reststop General+Note+3 @ 2024HTSRev7,NA
Cuba,2024_rev_7,reststop General+Note+3 @ 2024HTSRev7,NA
Russian Federation,2024_rev_7,reststop General+Note+3 @ 2024HTSRev7,NA
Republic of Belarus,2024_rev_8,reststop General+Note+3 @ 2024HTSRev8,NA
North Korea,2024_rev_8,reststop General+Note+3 @ 2024HTSRev8,NA
Cuba,2024_rev_8,reststop General+Note+3 @ 2024HTSRev8,NA
Russian Federation,2024_rev_8,reststop General+Note+3 @ 2024HTSRev8,NA
Republic of Belarus,2024_rev_9,reststop General+Note+3 @ 2024HTSRev9,NA
North Korea,2024_rev_9,reststop General+Note+3 @ 2024HTSRev9,NA
Cuba,2024_rev_9,reststop General+Note+3 @ 2024HTSRev9,NA
Russian Federation,2024_rev_9,reststop General+Note+3 @ 2024HTSRev9,NA
Republic of Belarus,2024_rev_10,reststop General+Note+3 @ 2024HTSRev10,NA
North Korea,2024_rev_10,reststop General+Note+3 @ 2024HTSRev10,NA
Cuba,2024_rev_10,reststop General+Note+3 @ 2024HTSRev10,NA
Russian Federation,2024_rev_10,reststop General+Note+3 @ 2024HTSRev10,NA
Republic of Belarus,2025_basic,reststop General+Note+3 @ 2025HTSBasic,NA
North Korea,2025_basic,reststop General+Note+3 @ 2025HTSBasic,NA
Cuba,2025_basic,reststop General+Note+3 @ 2025HTSBasic,NA
Russian Federation,2025_basic,reststop General+Note+3 @ 2025HTSBasic,NA
Republic of Belarus,2025_rev_1,reststop General+Note+3 @ 2025HTSRev1,NA
North Korea,2025_rev_1,reststop General+Note+3 @ 2025HTSRev1,NA
Cuba,2025_rev_1,reststop General+Note+3 @ 2025HTSRev1,NA
Russian Federation,2025_rev_1,reststop General+Note+3 @ 2025HTSRev1,NA
Republic of Belarus,2025_rev_2,reststop General+Note+3 @ 2025HTSRev2,NA
North Korea,2025_rev_2,reststop General+Note+3 @ 2025HTSRev2,NA
Cuba,2025_rev_2,reststop General+Note+3 @ 2025HTSRev2,NA
Russian Federation,2025_rev_2,reststop General+Note+3 @ 2025HTSRev2,NA
Republic of Belarus,2025_rev_3,reststop General+Note+3 @ 2025HTSRev3,NA
North Korea,2025_rev_3,reststop General+Note+3 @ 2025HTSRev3,NA
Cuba,2025_rev_3,reststop General+Note+3 @ 2025HTSRev3,NA
Russian Federation,2025_rev_3,reststop General+Note+3 @ 2025HTSRev3,NA
Republic of Belarus,2025_rev_4,reststop General+Note+3 @ 2025HTSRev4,NA
North Korea,2025_rev_4,reststop General+Note+3 @ 2025HTSRev4,NA
Cuba,2025_rev_4,reststop General+Note+3 @ 2025HTSRev4,NA
Russian Federation,2025_rev_4,reststop General+Note+3 @ 2025HTSRev4,NA
Republic of Belarus,2025_rev_5,reststop General+Note+3 @ 2025HTSRev5,NA
North Korea,2025_rev_5,reststop General+Note+3 @ 2025HTSRev5,NA
Cuba,2025_rev_5,reststop General+Note+3 @ 2025HTSRev5,NA
Russian Federation,2025_rev_5,reststop General+Note+3 @ 2025HTSRev5,NA
Republic of Belarus,2025_rev_6,reststop General+Note+3 @ 2025HTSRev6,NA
North Korea,2025_rev_6,reststop General+Note+3 @ 2025HTSRev6,NA
Cuba,2025_rev_6,reststop General+Note+3 @ 2025HTSRev6,NA
Russian Federation,2025_rev_6,reststop General+Note+3 @ 2025HTSRev6,NA
Republic of Belarus,2025_rev_7,reststop General+Note+3 @ 2025HTSRev7,NA
North Korea,2025_rev_7,reststop General+Note+3 @ 2025HTSRev7,NA
Cuba,2025_rev_7,reststop General+Note+3 @ 2025HTSRev7,NA
Russian Federation,2025_rev_7,reststop General+Note+3 @ 2025HTSRev7,NA
Republic of Belarus,2025_rev_8,reststop General+Note+3 @ 2025HTSRev8,NA
North Korea,2025_rev_8,reststop General+Note+3 @ 2025HTSRev8,NA
Cuba,2025_rev_8,reststop General+Note+3 @ 2025HTSRev8,NA
Russian Federation,2025_rev_8,reststop General+Note+3 @ 2025HTSRev8,NA
Republic of Belarus,2025_rev_9,reststop General+Note+3 @ 2025HTSRev9,NA
North Korea,2025_rev_9,reststop General+Note+3 @ 2025HTSRev9,NA
Cuba,2025_rev_9,reststop General+Note+3 @ 2025HTSRev9,NA
Russian Federation,2025_rev_9,reststop General+Note+3 @ 2025HTSRev9,NA
Republic of Belarus,2025_rev_10,reststop General+Note+3 @ 2025HTSRev10,NA
North Korea,2025_rev_10,reststop General+Note+3 @ 2025HTSRev10,NA
Cuba,2025_rev_10,reststop General+Note+3 @ 2025HTSRev10,NA
Russian Federation,2025_rev_10,reststop General+Note+3 @ 2025HTSRev10,NA
Republic of Belarus,2025_rev_11,reststop General+Note+3 @ 2025HTSRev11,NA
North Korea,2025_rev_11,reststop General+Note+3 @ 2025HTSRev11,NA
Cuba,2025_rev_11,reststop General+Note+3 @ 2025HTSRev11,NA
Russian Federation,2025_rev_11,reststop General+Note+3 @ 2025HTSRev11,NA
Republic of Belarus,2025_rev_12,reststop General+Note+3 @ 2025HTSRev12,NA
North Korea,2025_rev_12,reststop General+Note+3 @ 2025HTSRev12,NA
Cuba,2025_rev_12,reststop General+Note+3 @ 2025HTSRev12,NA
Russian Federation,2025_rev_12,reststop General+Note+3 @ 2025HTSRev12,NA
Republic of Belarus,2025_rev_13,reststop General+Note+3 @ 2025HTSRev13,NA
North Korea,2025_rev_13,reststop General+Note+3 @ 2025HTSRev13,NA
Cuba,2025_rev_13,reststop General+Note+3 @ 2025HTSRev13,NA
Russian Federation,2025_rev_13,reststop General+Note+3 @ 2025HTSRev13,NA
Republic of Belarus,2025_rev_14,reststop General+Note+3 @ 2025HTSRev14,NA
North Korea,2025_rev_14,reststop General+Note+3 @ 2025HTSRev14,NA
Cuba,2025_rev_14,reststop General+Note+3 @ 2025HTSRev14,NA
Russian Federation,2025_rev_14,reststop General+Note+3 @ 2025HTSRev14,NA
Republic of Belarus,2025_rev_15,reststop General+Note+3 @ 2025HTSRev15,NA
North Korea,2025_rev_15,reststop General+Note+3 @ 2025HTSRev15,NA
Cuba,2025_rev_15,reststop General+Note+3 @ 2025HTSRev15,NA
Russian Federation,2025_rev_15,reststop General+Note+3 @ 2025HTSRev15,NA
Republic of Belarus,2025_rev_16,reststop General+Note+3 @ 2025HTSRev16,NA
North Korea,2025_rev_16,reststop General+Note+3 @ 2025HTSRev16,NA
Cuba,2025_rev_16,reststop General+Note+3 @ 2025HTSRev16,NA
Russian Federation,2025_rev_16,reststop General+Note+3 @ 2025HTSRev16,NA
Republic of Belarus,2025_rev_17,reststop General+Note+3 @ 2025HTSRev17,NA
North Korea,2025_rev_17,reststop General+Note+3 @ 2025HTSRev17,NA
Cuba,2025_rev_17,reststop General+Note+3 @ 2025HTSRev17,NA
Russian Federation,2025_rev_17,reststop General+Note+3 @ 2025HTSRev17,NA
Republic of Belarus,2025_rev_18,reststop General+Note+3 @ 2025HTSRev18,NA
