symbol,program_name,revision,source_url,fallback_from
A,Generalized System of Preferences,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
A*,Generalized System of Preferences,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
A+,Generalized System of Preferences,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
AU,United States-Australia Free Trade Agreement,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
B,Automotive Products Trade Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
BH,United States-Bahrain Free Trade Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
C,Agreement on Trade in Civil Aircraft,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
CL,United States-Chile Free Trade Agreement,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
D,African Growth and Opportunity Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
E,Caribbean Basin Economic Recovery Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
E*,Caribbean Basin Economic Recovery Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
IL,United States-Israel Free Trade Area,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
JO,United States-Jordan Free Trade Area Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
JP,Trade Agreement Between the United States and Japan,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
K,Agreement on Trade in Pharmaceutical Products,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
P,Dominican Republic-Central America-United States Free Trade Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
P+,Dominican Republic-Central America-United States Free Trade Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
L,Uruguay Round Concessions on Intermediate Chemicals for Dyes,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
R,United States-Caribbean Basin Trade Partnership Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
MA,United States-Morocco Free Trade Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
SG,United States-Singapore Free Trade Agreement,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
OM,United States-Oman Free Trade Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
PE,United States-Peru Trade Promotion Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
KR,United States-Korea Free Trade Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
CO,United States-Colombia Trade Promotion Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
PA,United States-Panama Trade Promotion Agreement Implementation Act,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
NP,Nepal Preference Program,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
S,United States-Mexico-Canada Agreement,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
S+,United States-Mexico-Canada Agreement,2024_rev_4,reststop General+Note+3 @ 2024HTSRev4,NA
A,Generalized System of Preferences,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
A*,Generalized System of Preferences,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
A+,Generalized System of Preferences,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
AU,United States-Australia Free Trade Agreement,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
B,Automotive Products Trade Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
BH,United States-Bahrain Free Trade Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
C,Agreement on Trade in Civil Aircraft,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
CL,United States-Chile Free Trade Agreement,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
D,African Growth and Opportunity Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
E,Caribbean Basin Economic Recovery Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
E*,Caribbean Basin Economic Recovery Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
IL,United States-Israel Free Trade Area,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
JO,United States-Jordan Free Trade Area Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
JP,Trade Agreement Between the United States and Japan,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
K,Agreement on Trade in Pharmaceutical Products,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
P,Dominican Republic-Central America-United States Free Trade Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
P+,Dominican Republic-Central America-United States Free Trade Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
L,Uruguay Round Concessions on Intermediate Chemicals for Dyes,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
R,United States-Caribbean Basin Trade Partnership Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
MA,United States-Morocco Free Trade Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
SG,United States-Singapore Free Trade Agreement,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
OM,United States-Oman Free Trade Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
PE,United States-Peru Trade Promotion Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
KR,United States-Korea Free Trade Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
CO,United States-Colombia Trade Promotion Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
PA,United States-Panama Trade Promotion Agreement Implementation Act,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
NP,Nepal Preference Program,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
S,United States-Mexico-Canada Agreement,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
S+,United States-Mexico-Canada Agreement,2026_rev_9,reststop General+Note+3 @ 2026HTSRev9,NA
A,Generalized System of Preferences,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
A*,Generalized System of Preferences,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
A+,Generalized System of Preferences,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
AU,United States-Australia Free Trade Agreement,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
B,Automotive Products Trade Act,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
BH,United States-Bahrain Free Trade Agreement Implementation Act,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
C,Agreement on Trade in Civil Aircraft,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
CL,United States-Chile Free Trade Agreement,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
D,African Growth and Opportunity Act,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
E,Caribbean Basin Economic Recovery Act,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
E*,Caribbean Basin Economic Recovery Act,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
IL,United States-Israel Free Trade Area,2024_basic,reststop General+Note+3 @ 2024HTSBasic,NA
