country_name,census_code,census_name,match_status,revision,symbol,program,general_note,source_url,source_hash,fallback_from
GSP,NA,NA,unmatched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Afghanistan,5310,Afghanistan,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Albania,4810,Albania,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Algeria,7210,Algeria,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Angola,7620,Angola,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Argentina,3570,Argentina,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Armenia,4631,Armenia,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Azerbaijan,4632,Azerbaijan,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Belize,2080,Belize,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Benin,7610,Benin,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Bhutan,5682,Bhutan,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Bolivia,3350,Bolivia,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Bosnia and Hercegovina,4793,Bosnia and Herzegovina,alias,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Botswana,7930,Botswana,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Brazil,3510,Brazil,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
Burkina Faso,7600,Burkina Faso,matched,2023_rev_10,A,GSP,4,reststop General+Note+4 @ 2023HTSRev10,1d2c2987bc18dbaa0f78b0bec7d88af2,NA
