hts10,source,effective_date_start,effective_date_end
0106110000,annex_ii,NA,NA
0106120100,annex_ii,NA,NA
0106130000,annex_ii,NA,NA
0106140000,annex_ii,NA,NA
0106193000,annex_ii,NA,NA
0106199100,annex_ii,NA,NA
0106199120,annex_ii,NA,NA
0106199195,annex_ii,NA,NA
0106200000,annex_ii,NA,NA
0106310000,annex_ii,NA,NA
0106320000,annex_ii,NA,NA
0106330000,annex_ii,NA,NA
0106390100,annex_ii,NA,NA
0106900100,annex_ii,NA,NA
0106900110,annex_ii,NA,NA
0106900120,annex_ii,NA,NA
0106900180,annex_ii,NA,NA
0201100500,annex_ii,2025-11-13,NA
0201100510,annex_ii,2025-11-13,NA
0201100590,annex_ii,2025-11-13,NA
0201101000,annex_ii,2025-11-13,NA
0201101010,annex_ii,2025-11-13,NA
0201101090,annex_ii,2025-11-13,NA
0201105000,annex_ii,2025-11-13,NA
0201105010,annex_ii,2025-11-13,NA
0201105090,annex_ii,2025-11-13,NA
0201200200,annex_ii,2025-11-13,NA
0201200400,annex_ii,2025-11-13,NA
0201200600,annex_ii,2025-11-13,NA
0201201000,annex_ii,2025-11-13,NA
0201203000,annex_ii,2025-11-13,NA
0201205000,annex_ii,2025-11-13,NA
0201205015,annex_ii,2025-11-13,NA
0201205025,annex_ii,2025-11-13,NA
0201205035,annex_ii,2025-11-13,NA
0201205045,annex_ii,2025-11-13,NA
0201205065,annex_ii,2025-11-13,NA
0201205075,annex_ii,2025-11-13,NA
0201205091,annex_ii,2025-11-13,NA
0201208000,annex_ii,2025-11-13,NA
0201208010,annex_ii,2025-11-13,NA
0201208090,annex_ii,2025-11-13,NA
0201300200,annex_ii,2025-11-13,NA
0201300400,annex_ii,2025-11-13,NA
0201300600,annex_ii,2025-11-13,NA
0201301000,annex_ii,2025-11-13,NA
0201303000,annex_ii,2025-11-13,NA
0201305000,annex_ii,2025-11-13,NA
0201305015,annex_ii,2025-11-13,NA
0201305025,annex_ii,2025-11-13,NA
0201305035,annex_ii,2025-11-13,NA
0201305045,annex_ii,2025-11-13,NA
0201305055,annex_ii,2025-11-13,NA
0201305065,annex_ii,2025-11-13,NA
0201305075,annex_ii,2025-11-13,NA
0201305085,annex_ii,2025-11-13,NA
0201305091,annex_ii,2025-11-13,NA
0201305097,annex_ii,2025-11-13,NA
0201308000,annex_ii,2025-11-13,NA
0201308010,annex_ii,2025-11-13,NA
0201308090,annex_ii,2025-11-13,NA
0202100500,annex_ii,2025-11-13,NA
0202100510,annex_ii,2025-11-13,NA
0202100590,annex_ii,2025-11-13,NA
0202101000,annex_ii,2025-11-13,NA
0202101010,annex_ii,2025-11-13,NA
0202101090,annex_ii,2025-11-13,NA
0202105000,annex_ii,2025-11-13,NA
0202105010,annex_ii,2025-11-13,NA
0202105090,annex_ii,2025-11-13,NA
0202200200,annex_ii,2025-11-13,NA
0202200400,annex_ii,2025-11-13,NA
0202200600,annex_ii,2025-11-13,NA
0202201000,annex_ii,2025-11-13,NA
0202203000,annex_ii,2025-11-13,NA
0202205000,annex_ii,2025-11-13,NA
0202205025,annex_ii,2025-11-13,NA
0202205035,annex_ii,2025-11-13,NA
0202205045,annex_ii,2025-11-13,NA
0202205090,annex_ii,2025-11-13,NA
0202208000,annex_ii,2025-11-13,NA
0202300200,annex_ii,2025-11-13,NA
0202300400,annex_ii,2025-11-13,NA
0202300600,annex_ii,2025-11-13,NA
0202301000,annex_ii,2025-11-13,NA
0202303000,annex_ii,2025-11-13,NA
0202305000,annex_ii,2025-11-13,NA
0202305015,annex_ii,2025-11-13,NA
0202305025,annex_ii,2025-11-13,NA
0202305035,annex_ii,2025-11-13,NA
0202305045,annex_ii,2025-11-13,NA
0202305055,annex_ii,2025-11-13,NA
0202305065,annex_ii,2025-11-13,NA
0202305075,annex_ii,2025-11-13,NA
0202305085,annex_ii,2025-11-13,NA
0202305091,annex_ii,2025-11-13,NA
0202305097,annex_ii,2025-11-13,NA
0202308000,annex_ii,2025-11-13,NA
0202308015,annex_ii,2025-11-13,NA
0202308025,annex_ii,2025-11-13,NA
0206100000,annex_ii,2025-11-13,NA
0206210000,annex_ii,2025-11-13,NA
0206220000,annex_ii,2025-11-13,NA
0206290000,annex_ii,2025-11-13,NA
0208500000,annex_ii,NA,NA
0208902500,annex_ii,NA,NA
0210200000,annex_ii,2025-11-13,NA
0302310000,annex_ii,NA,NA
0302320000,annex_ii,NA,NA
0304870000,annex_ii,NA,NA
0410100000,annex_ii,NA,NA
0501000000,annex_ii,NA,NA
0508000000,annex_ii,NA,NA
0510004000,annex_ii,NA,NA
0510004010,annex_ii,NA,NA
0510004020,annex_ii,NA,NA
0510004040,annex_ii,NA,NA
0602902000,annex_ii,NA,NA
