hts10,exempt_share,con_val,months
8411919085,0.9991025577669156,3559609613,3
8411124000,0.9998755101337028,2008195586,3
8802400190,1,1467133671,3
8518302000,0.00610389168866609,1320664817,3
8504409580,0.03359631686127118,886462618,3
8504409570,0.13548905043768145,864394094,3
3926909989,0.00460668816319809,778685006,3
8807300030,1,741682112,2
8504406018,0.0024427254935857,638534704,3
8411999085,0.3839270377929436,596877668,3
9031808085,0.021501831932631,550216467,3
8802400140,1,538050568,3
8802300140,1,537581219,3
8443310000,0,527658197,3
8479899599,0.00324650052151165,495314875,2
8802400170,1,450000000,3
8807300060,0.9062382828746368,423642732,2
8408909010,0.00117295249535398,400360630,3
8504408500,0.00726057829440351,372340176,3
8414519090,9.422788825931284e-4,323255679,3
8418690180,0.5523247347298806,309030377,3
8504409550,0.01032804358851613,294808109,3
8504407018,0.00558561907787569,286907499,3
8421210000,0.03091873369978803,275955383,3
8428900390,0.00696651816069859,274021535,2
9026204000,0.00415512915446825,243420111,3
8518220000,0.00136963625335728,242063540,3
8504409540,0.06183392157390122,226537419,3
8421390115,2.1704262057298251e-4,226080020,3
8408909050,7.422700541998006e-4,217804826,3
8543704500,0.09349022135011842,216930356,3
8526910040,0.34180580358973933,215768870,3
8414513000,0,212026577,3
8411999090,0.9854701497338356,209127482,3
8526100040,0.24289279689592105,208580257,3
8413500080,0.22517910336908575,201706563,3
8504404000,0.0280432684338926,189399321,3
8502200085,0.9691611598668848,186947660,2
8507500000,0.6880525212794102,182946800,3
8479909596,0,180306031,2
8802300160,1,175862466,3
9032896085,0.4794457596497283,167787495,3
8414802015,0.9659779646205512,167291696,3
8531200040,0.07428903180809088,160634507,3
8483405010,0.7520258787755363,155875072,2
8807200030,0.9612300276269148,154900033,3
9030400000,0.02058856375095241,153185139,3
8421390190,0.00726039405251877,152583316,3
8414100000,0.06207129061049954,146895109,3
4016935050,0.07973136031846739,146328345,3
8536700000,6.876165379976484e-5,143597477,3
8531809026,0.00771336368303487,138623439,3
9403200090,0.00227160620545086,132811752,2
4016996050,0.00503913932709632,127838299,3
8519814150,0.01571263290892977,125685874,3
8419903000,0.01095429768242517,125620194,3
8526921000,1.6532526271206827e-5,125147238,3
8517690000,0.10138286869454129,122899087,3
8428390000,2.1428313572324775e-5,120028111,2
8507208041,0.05135527528458961,117270640,3
9401108000,0.9381749518557264,111933354,3
8443321040,0.03129589041944625,110720959,3
3926904590,0.1902472545605783,110597596,3
8802300180,1,107692595,3
8443321050,0.129159404653287,105623830,3
9403200050,2.635633266856452e-6,105477497,2
8504508000,0.07538559330084593,104422976,3
8413600090,0.17324332213593707,101937984,3
8419819040,0.01222179713238824,101683082,3
8419505000,0.00151004902687768,100974205,2
8518210000,0.07689505369965999,100943749,3
8528620000,0.01580866651773571,98981024,3
3917330000,0.6794028757556119,97996088,3
9031909195,0.06643954739329794,97836112,2
9405116020,0.01481950903194517,97407478,3
8531809051,0.27421605279434,95609946,3
3917400095,0.00744493684061231,92257465,3
8529909800,0.02455862135683939,92204280,3
8412909070,3.124268503578165e-4,87034773,2
9030333800,0.10347160934000332,85224595,3
9025198085,0.16676514254107688,84049351,3
8413702004,0.00988009014459467,82350362,3
8529109100,0.288519539551925,82309129,3
9026102040,0.00222586143624947,82299822,3
8421290065,0.03487891348758309,81668427,2
8418100055,0,80910949,2
8802120140,1,80351076,3
8413919096,0.00234503084045223,80261631,2
8413702090,0.3020597032577844,78395856,3
8483905080,0.09386582632037554,77855523,2
8531200020,0.15653003430040713,77410160,3
8518298000,0.07034863281624826,77119992,3
8518402000,0.06489846166695756,74614727,3
3926909910,8.455129265172445e-6,73091727,3
8502390080,0.25650741873763994,72784620,3
9405118010,0.00240234571234043,71841034,3
8421390130,0.3713244149441133,71342928,3
8414901080,0.27931786165279293,70491976,3
8483105000,0.09759999110231277,70310406,2
8414904190,0.1136159040261644,70278154,2
8408909030,0.00376641061725546,69823242,3
9403200082,0.00522804324162695,68556625,2
8418690150,0.9551109077935324,68529900,3
9014206000,0.8625514782600935,68350455,3
8413600030,0.14561134460979874,68059388,3
