census_code,country_name,note_ref,first_revision
5310,Afghanistan,"U.S. note 41(c), ch99 subch III",2026_rev_16
4810,Albania,"U.S. note 41(c), ch99 subch III",2026_rev_16
7210,Algeria,"U.S. note 41(c), ch99 subch III",2026_rev_16
7620,Angola,"U.S. note 41(c), ch99 subch III",2026_rev_16
2484,Antigua and Barbuda,"U.S. note 41(c), ch99 subch III",2026_rev_16
4631,Armenia,"U.S. note 41(c), ch99 subch III",2026_rev_16
2779,Aruba,"U.S. note 41(c), ch99 subch III",2026_rev_16
6021,Australia,"U.S. note 41(c), ch99 subch III",2026_rev_16
4632,Azerbaijan,"U.S. note 41(c), ch99 subch III",2026_rev_16
2360,Bahamas,"U.S. note 41(c), ch99 subch III",2026_rev_16
2720,Barbados,"U.S. note 41(c), ch99 subch III",2026_rev_16
2080,Belize,"U.S. note 41(c), ch99 subch III",2026_rev_16
7610,Benin,"U.S. note 41(c), ch99 subch III",2026_rev_16
5682,Bhutan,"U.S. note 41(c), ch99 subch III",2026_rev_16
3350,Bolivia,"U.S. note 41(c), ch99 subch III",2026_rev_16
4793,Bosnia and Hercegovina,"U.S. note 41(c), ch99 subch III",2026_rev_16
7930,Botswana,"U.S. note 41(c), ch99 subch III",2026_rev_16
3510,Brazil,"U.S. note 41(c), ch99 subch III",2026_rev_16
2482,British Virgin Islands,"U.S. note 41(c), ch99 subch III",2026_rev_16
7600,Burkina Faso,"U.S. note 41(c), ch99 subch III",2026_rev_16
5460,Burma,"U.S. note 41(c), ch99 subch III",2026_rev_16
7670,Burundi,"U.S. note 41(c), ch99 subch III",2026_rev_16
5550,Cambodia,"U.S. note 41(c), ch99 subch III",2026_rev_16
7420,Cameroon,"U.S. note 41(c), ch99 subch III",2026_rev_16
1220,Canada,"U.S. note 41(c), ch99 subch III",2026_rev_16
7643,Cape Verde,"U.S. note 41(c), ch99 subch III",2026_rev_16
7540,Central African Republic,"U.S. note 41(c), ch99 subch III",2026_rev_16
7560,Chad,"U.S. note 41(c), ch99 subch III",2026_rev_16
3010,Colombia,"U.S. note 41(c), ch99 subch III",2026_rev_16
7890,Comoros,"U.S. note 41(c), ch99 subch III",2026_rev_16
7630,Congo (Brazzaville),"U.S. note 41(c), ch99 subch III",2026_rev_16
7660,Congo (Kinshasa),"U.S. note 41(c), ch99 subch III",2026_rev_16
2230,Costa Rica,"U.S. note 41(c), ch99 subch III",2026_rev_16
7480,Cote d'Ivoire,"U.S. note 41(c), ch99 subch III",2026_rev_16
2777,Curacao,"U.S. note 41(c), ch99 subch III",2026_rev_16
