hts_prefix,ch99_code,derivative_type,effective_date
04029968,9903.85.08,aluminum,2025-08-18
04029968,9903.81.91,steel,2025-08-18
04029970,9903.85.08,aluminum,2025-08-18
04029970,9903.81.91,steel,2025-08-18
04029990,9903.85.08,aluminum,2025-08-18
04029990,9903.81.91,steel,2025-08-18
2106909993,9903.85.08,aluminum,2026-07-01
2106909993,9903.81.91,steel,2026-07-01
2106909994,9903.85.08,aluminum,2026-07-01
2106909994,9903.81.91,steel,2026-07-01
2106909998,9903.85.08,aluminum,2025-08-18
2106909998,9903.81.91,steel,2025-08-18
22030000,9903.85.08,aluminum,2025-04-04
2710193050,9903.85.08,aluminum,2025-08-18
2710193050,9903.81.91,steel,2025-08-18
2711120020,9903.81.91,steel,2025-08-18
2804290010,9903.81.91,steel,2025-08-18
2804400000,9903.81.91,steel,2025-08-18
2901220000,9903.81.91,steel,2025-08-18
2903421000,9903.81.91,steel,2025-08-18
29034310,9903.85.08,aluminum,2025-08-18
29034310,9903.81.91,steel,2025-08-18
29034410,9903.81.91,steel,2025-08-18
29034510,9903.85.08,aluminum,2025-08-18
29034510,9903.81.91,steel,2025-08-18
29034900,9903.85.08,aluminum,2025-08-18
29034900,9903.81.91,steel,2025-08-18
29035110,9903.85.08,aluminum,2025-08-18
29035110,9903.81.91,steel,2025-08-18
29035990,9903.85.08,aluminum,2025-08-18
29035990,9903.81.91,steel,2025-08-18
2903710100,9903.81.91,steel,2025-08-18
3004909244,9903.85.08,aluminum,2025-08-18
3004909244,9903.81.91,steel,2025-08-18
32081000,9903.85.08,aluminum,2025-08-18
32081000,9903.81.91,steel,2025-08-18
32082000,9903.85.08,aluminum,2025-08-18
32082000,9903.81.91,steel,2025-08-18
32089000,9903.85.08,aluminum,2025-08-18
32089000,9903.81.91,steel,2025-08-18
32091000,9903.85.08,aluminum,2025-08-18
32091000,9903.81.91,steel,2025-08-18
32099000,9903.85.08,aluminum,2025-08-18
32099000,9903.81.91,steel,2025-08-18
32139000,9903.85.08,aluminum,2025-08-18
32139000,9903.81.91,steel,2025-08-18
32141000,9903.85.08,aluminum,2025-08-18
32141000,9903.81.91,steel,2025-08-18
33030010,9903.85.08,aluminum,2025-08-18
33030010,9903.81.91,steel,2025-08-18
33030020,9903.85.08,aluminum,2025-08-18
33030020,9903.81.91,steel,2025-08-18
33030030,9903.85.08,aluminum,2025-08-18
33030030,9903.81.91,steel,2025-08-18
33043000,9903.85.08,aluminum,2025-08-18
33043000,9903.81.91,steel,2025-08-18
33049950,9903.85.08,aluminum,2025-08-18
33049950,9903.81.91,steel,2025-08-18
33051000,9903.85.08,aluminum,2025-08-18
33051000,9903.81.91,steel,2025-08-18
33053000,9903.85.08,aluminum,2025-08-18
33053000,9903.81.91,steel,2025-08-18
33059000,9903.85.08,aluminum,2025-08-18
33059000,9903.81.91,steel,2025-08-18
33069000,9903.85.08,aluminum,2025-08-18
33069000,9903.81.91,steel,2025-08-18
33071010,9903.85.08,aluminum,2025-08-18
33071010,9903.81.91,steel,2025-08-18
33071020,9903.85.08,aluminum,2025-08-18
33071020,9903.81.91,steel,2025-08-18
33072000,9903.85.08,aluminum,2025-08-18
33072000,9903.81.91,steel,2025-08-18
33074900,9903.85.08,aluminum,2025-08-18
33074900,9903.81.91,steel,2025-08-18
33079000,9903.85.08,aluminum,2025-08-18
33079000,9903.81.91,steel,2025-08-18
34013010,9903.85.08,aluminum,2025-08-18
34013010,9903.81.91,steel,2025-08-18
34013050,9903.85.08,aluminum,2025-08-18
34013050,9903.81.91,steel,2025-08-18
34023190,9903.85.08,aluminum,2025-08-18
34023190,9903.81.91,steel,2025-08-18
34024990,9903.85.08,aluminum,2025-08-18
34024990,9903.81.91,steel,2025-08-18
34025011,9903.85.08,aluminum,2025-08-18
