hts_code,condition
02011005,full
02011010,full
02011050,full
02012002,full
02012004,full
02012006,full
02012010,full
02012030,full
02012050,full
02012080,full
02013002,full
02013004,full
02013006,full
02013010,full
02013030,full
02013050,full
02013080,full
02021005,full
02021010,full
02021050,full
02022002,full
02022004,full
02022006,full
02022010,full
02022030,full
02022050,full
02022080,full
02023002,full
02023004,full
02023006,full
02023010,full
02023030,full
02023050,full
02023080,full
02061000,full
02062100,full
02062200,full
02062900,full
02102000,full
05080000,full
05119930,full
06021000,full
07011000,full
07020020,full
07020040,full
07020060,full
07099905,full
07099910,full
07108015,full
07119030,full
07123200,full
07123410,full
07123420,full
0712908550,full
07131010,full
07132010,full
07133110,full
07133210,full
07133310,full
07133410,full
07133420,full
07133440,full
07133911,full
07134010,full
07135010,full
07136010,full
07139011,full
07139050,full
07141010,full
07141020,full
07144010,full
07144020,full
07144050,full
07144060,full
07145010,full
07145020,full
07145060,full
07149042,full
07149044,full
07149046,full
07149048,full
07149061,full
08011100,full
08011200,full
08011901,full
08012100,full
08012200,full
08013100,full
08013200,full
08024100,full
08024200,full
08026100,full
08026200,full
08027010,full
08027020,full
08028010,full
08028020,full
08029110,full
08029190,full
08029210,full
08029290,full
08031010,full
08031020,full
08039000,full
08043020,full
08043040,full
08043060,full
08044000,full
08045040,full
08045060,full
08045080,full
08051000,full
08055030,full
08055040,full
08059001,ex
08072000,full
08084020,full
08084040,full
08105000,full
08106000,full
08109027,full
08109046,full
08119010,full
08119025,full
08119030,full
08119040,full
08119050,full
08119052,full
08119080,ex
08129040,full
09011100,full
09011200,full
09012100,full
09012200,full
09019010,full
09019020,full
09021010,full
09021090,full
09022010,full
09022090,full
09023000,full
09024000,full
09030000,full
09041100,full
09041200,full
09042120,full
09042140,full
09042160,full
09042180,full
09042220,full
09042240,full
09042273,full
09042276,full
09042280,full
09051000,full
09052000,full
09061100,full
09061900,full
09062000,full
09071000,full
09072000,full
09081100,full
09081200,full
09082100,full
09082220,full
09082240,full
09083100,full
09083200,full
09092100,full
09092200,full
09093100,full
09093200,full
09096100,full
09096200,full
09101100,full
09101200,full
09102000,full
09103000,full
09109100,full
09109907,full
09109910,full
09109920,full
09109940,full
09109950,full
09109960,full
10011100,full
10019100,full
10021000,full
10031000,full
10039040,full
10041000,full
10051000,full
10071000,full
10082100,full
10083000,full
10084000,full
10086000,full
11062090,full
11063020,full
11081400,full
11081900,full
12011000,full
12023005,full
12023040,full
12023080,full
12030000,full
1204000010,full
1205100010,full
1205900010,full
1206000031,full
12072100,full
12073000,ex
12074000,ex
12075000,ex
12076000,ex
12077000,full
12079100,full
12079903,ex
12091000,full
12092100,full
12092220,full
12092240,full
12092300,full
12092400,full
12092500,full
12092910,full
12092991,full
12093000,full
12099110,full
12099120,full
12099140,full
12099150,full
12099160,full
12099180,full
12099920,full
12099941,full
14049090,full
15131100,full
15131900,full
15211000,full
15219020,full
16025005,full
16025007,full
16025008,full
16025021,full
16025060,full
16025090,full
17011210,full
17011310,full
17011410,full
17019110,full
17019910,full
17029010,full
18010000,full
18020000,full
18031000,full
18032000,full
18040000,full
18050000,full
19030020,full
19030040,full
19059010,ex
19059090,ex
20019045,full
20059160,full
20060040,full
20079940,full
20079950,full
20081915,full
20082000,full
20083035,full
20089100,full
20089913,full
20089915,full
20089921,ex
20089940,full
20089945,full
20089991,full
20091100,full
20091225,full
20091245,full
20091900,full
20093160,ex
20093920,full
20094940,full
20098970,ex
20099040,ex
21011121,full
21011129,full
21011290,full
21012020,full
21069044,full
21069048,full
21069099,ex
22029930,full
22029935,full
25030000,full
25041010,full
25041050,full
25049000,full
25101000,full
25102000,full
25111010,full
25111050,full
25191000,full
25199010,full
25199020,full
25249000,full
25292100,full
25292200,full
25302010,full
25302020,full
25309010,full
25309020,full
25309080,full
26011100,full
26012000,full
26020000,full
26030000,full
26040000,full
26050000,full
26060000,full
26080000,full
26090000,full
26100000,full
26110030,full
26110060,full
26121000,full
26122000,full
26139000,full
26140030,full
26140060,full
26159030,full
26159060,full
26161000,full
26171000,full
26203000,full
26209950,full
27011100,full
27011200,full
27011900,full
27012000,full
27021000,full
27022000,full
27030000,full
27040000,full
27050000,full
27060000,full
27071000,full
27072000,full
27073000,full
27074000,full
27075000,full
27079100,full
27079910,full
27079920,full
27079940,full
27079951,full
27079955,full
27079959,full
27079990,full
27081000,full
27082000,full
27090010,full
27090020,full
27101215,full
27101218,full
27101225,full
27101245,full
27101290,full
27101906,full
27101911,full
27101916,full
27101924,full
27101925,full
27101926,full
27101930,full
27101935,full
27101940,full
27101945,full
27101990,full
27102005,full
27102010,full
27102015,full
27102025,full
27109100,full
27109905,full
27109910,full
27109916,full
27109921,full
27109931,full
27109932,full
27109939,full
27109945,full
27109990,full
27111100,full
27111200,full
27111300,full
27111400,full
27111900,full
27112100,full
27112900,full
27121000,full
27122000,full
27129010,full
27129020,full
27131100,full
27131200,full
27132000,full
27139000,full
27141000,full
27149000,full
27150000,full
27160000,full
28012000,full
28020000,full
28041000,pharma
28042900,full
28043000,full
28045000,full
28046100,full
28048000,full
28049000,full
28051910,full
28051920,full
28051990,full
28053000,full
28061000,pharma
28070000,full
28092000,pharma
28111100,full
28111200,pharma
28111910,full
28112250,pharma
28112910,full
28112920,full
28121200,pharma
28121900,full
28139010,full
28141000,full
28142000,full
28151100,pharma
28151200,pharma
28152000,full
28153000,pharma
28161000,full
28164010,full
28164020,full
28170000,full
28181010,full
28181020,full
28182000,full
28183000,full
28201000,full
28211000,full
28212000,full
28220000,full
28230000,full
28251000,pharma
28252000,full
28253000,full
28254000,full
28255030,full
28256000,full
28258000,full
28259015,full
28259020,full
28259030,full
28259090,full
28261200,full
28263000,full
28269090,full
28273100,full
28273925,full
28273945,full
28273960,full
28273965,pharma
28273990,full
28274100,full
28274950,full
28275951,full
28276010,full
28276020,pharma
28276051,full
28321000,pharma
28323010,pharma
28331150,pharma
28331900,pharma
28332100,full
28332200,pharma
28332400,full
28332500,full
28332700,full
28332910,full
28332945,full
28332951,full
28341010,pharma
28342100,full
28342910,full
28342920,full
28342951,full
28352200,pharma
28352400,pharma
28362000,pharma
28363000,pharma
28364020,pharma
28366000,full
28369100,full
28369200,full
28369910,full
28369950,full
28372051,pharma
28418000,full
28419020,full
28419040,pharma
28421000,pharma
28429090,pharma
28432901,pharma
28433000,pharma
28439000,pharma
28441010,full
28441020,full
28442000,full
28443020,full
28443050,full
28444100,pharma
28444200,pharma
28444300,pharma
28444400,pharma
28452000,pharma
28453000,pharma
28459001,pharma
28461000,full
28469020,full
28469040,full
28469080,full
28470000,pharma
28492010,full
28492020,full
28499030,full
28500050,pharma
28531000,pharma
28539010,full
28539050,pharma
28539090,full
29011040,pharma
29021900,pharma
29029030,pharma
29031200,pharma
29031300,pharma
29032200,pharma
29034110,pharma
29034210,pharma
29034310,pharma
29034410,pharma
29034510,pharma
29034610,pharma
29034710,pharma
29034800,pharma
29034900,pharma
29035110,pharma
29035910,pharma
29035990,pharma
29036910,pharma
29036990,pharma
29037101,pharma
29037700,pharma
29037800,pharma
29037990,pharma
29038100,pharma
29038915,pharma
29038920,pharma
29038970,pharma
29039200,pharma
29039300,pharma
29039400,pharma
29039920,pharma
29039980,pharma
29041032,pharma
29041050,pharma
29042010,pharma
29042015,pharma
29042020,pharma
29042030,pharma
29042035,pharma
29042040,pharma
29042045,pharma
29042050,pharma
29049904,pharma
29049908,pharma
29049915,pharma
29049920,pharma
29049930,pharma
29049935,pharma
29049940,pharma
29049947,pharma
29049950,pharma
29051120,pharma
29051200,pharma
29051300,pharma
29051910,pharma
29051990,pharma
29052210,pharma
29052220,pharma
29052250,pharma
29052990,pharma
29053100,pharma
29053200,pharma
29053990,pharma
29054920,pharma
29054950,pharma
29055100,pharma
29055910,pharma
29055990,pharma
29061100,pharma
29061950,pharma
29062960,pharma
29071100,pharma
29071910,pharma
29071920,pharma
29071940,pharma
29071980,pharma
29072990,pharma
29081910,pharma
29081935,pharma
29081960,pharma
29089912,pharma
29089915,pharma
29089925,pharma
29091100,pharma
29091918,pharma
29091960,pharma
29092000,pharma
29093040,pharma
29093060,pharma
29094905,pharma
29094910,pharma
29094915,pharma
29094920,pharma
29094960,pharma
29095020,pharma
29095040,pharma
29095045,pharma
29095050,pharma
29101000,pharma
29103000,pharma
29104000,pharma
29105000,pharma
29109010,pharma
29109020,pharma
29109091,pharma
29110010,pharma
29110050,pharma
29121950,pharma
29122960,pharma
29124926,pharma
29126000,pharma
29141110,pharma
29141900,pharma
29142930,pharma
29142950,pharma
29143990,pharma
29144040,pharma
29144090,pharma
29145010,pharma
29145030,pharma
29145050,pharma
29146200,pharma
29146921,pharma
29146990,pharma
29147100,pharma
29147910,pharma
29147940,pharma
29147960,pharma
29147990,pharma
29152100,pharma
29152400,pharma
29152930,full
29152950,pharma
29153200,pharma
29153600,pharma
29153910,pharma
29153931,pharma
29153935,pharma
29153940,pharma
29153945,pharma
29153947,pharma
29153970,pharma
29153990,pharma
29154010,pharma
29154020,pharma
29154030,pharma
29154050,pharma
29155020,pharma
29159010,pharma
29159014,pharma
29159018,pharma
29159020,pharma
29159050,pharma
29161600,pharma
29161930,pharma
29161950,pharma
29162050,pharma
29163130,pharma
29163150,pharma
29163915,pharma
29163917,pharma
29163946,pharma
29163979,pharma
29171300,pharma
29171910,pharma
29171915,pharma
29171917,pharma
29171920,pharma
29171923,pharma
29171927,pharma
29171930,pharma
29171935,pharma
29171940,pharma
29171970,pharma
29172000,pharma
29173401,pharma
29173700,pharma
29173930,pharma
29181151,pharma
29181200,pharma
29181350,pharma
29181400,pharma
29181650,pharma
29181800,pharma
29181915,pharma
29181920,pharma
29181931,pharma
29181960,pharma
29181990,pharma
29182110,pharma
29182210,pharma
29182250,pharma
29182310,pharma
29182330,pharma
29182350,pharma
29182920,pharma
29182922,pharma
29182965,pharma
29182975,full
29183010,pharma
29183015,pharma
29183025,pharma
29183030,pharma
29183070,pharma
29183090,pharma
29189905,pharma
29189930,pharma
29189943,pharma
29189947,pharma
29189950,pharma
29191000,pharma
29199030,pharma
29199050,pharma
29201940,pharma
29201950,pharma
29202100,pharma
29202200,pharma
29202300,pharma
29202400,pharma
29202900,pharma
29203000,pharma
29209020,pharma
29209051,pharma
29211100,pharma
29211400,pharma
29211911,pharma
29211961,pharma
29212900,pharma
29213010,pharma
29213030,pharma
29213050,pharma
29214110,pharma
29214120,pharma
29214265,pharma
29214290,pharma
29214340,pharma
29214560,pharma
29214590,pharma
29214600,pharma
29214938,pharma
29214943,pharma
29214945,pharma
29214950,pharma
29215940,pharma
29215980,pharma
29221100,pharma
29221200,pharma
29221400,pharma
29221500,pharma
29221600,pharma
29221700,pharma
29221800,pharma
29221909,pharma
29221920,pharma
29221933,pharma
29221960,pharma
29221970,pharma
29221990,pharma
29221996,pharma
29222110,pharma
29222125,pharma
29222140,pharma
29222150,pharma
29222903,pharma
29222906,pharma
29222908,pharma
29222910,pharma
29222913,pharma
29222915,pharma
29222920,pharma
29222926,pharma
29222927,pharma
29222929,pharma
29222961,pharma
29222981,pharma
29223100,pharma
29223905,pharma
29223910,pharma
29223914,pharma
29223917,pharma
29223925,pharma
29223945,pharma
29223950,pharma
29224100,pharma
29224210,pharma
29224250,pharma
29224310,pharma
29224350,pharma
29224400,pharma
29224905,pharma
29224910,pharma
29224926,pharma
29224930,pharma
29224937,pharma
29224943,pharma
29224949,pharma
29224960,pharma
29224980,pharma
29225007,pharma
29225010,pharma
29225011,pharma
29225013,pharma
29225014,pharma
29225017,pharma
29225019,pharma
29225025,pharma
29225035,pharma
29225040,pharma
29225050,pharma
29231000,pharma
29232010,pharma
29232020,pharma
29233000,pharma
29234000,pharma
29239001,pharma
29241100,pharma
29241200,pharma
29241911,pharma
29241980,pharma
29242116,pharma
29242120,pharma
29242145,pharma
29242150,pharma
29242370,pharma
29242375,pharma
29242400,pharma
29242500,pharma
29242901,pharma
29242903,pharma
29242905,pharma
29242910,pharma
29242923,pharma
29242926,pharma
29242928,pharma
29242933,pharma
29242957,pharma
29242962,pharma
29242965,pharma
29242971,pharma
29242977,pharma
29242980,pharma
29242995,pharma
29251200,pharma
29251942,pharma
29251991,pharma
29252100,pharma
29252910,pharma
29252918,pharma
29252920,pharma
29252960,pharma
29252970,pharma
29252990,pharma
29263010,pharma
29264000,pharma
29269014,pharma
29269030,full
29269043,pharma
29269048,pharma
29269050,pharma
29270040,pharma
29270050,pharma
29280010,pharma
29280015,pharma
29280025,pharma
29280030,pharma
29280050,pharma
29299005,pharma
29299015,pharma
29299020,pharma
29299050,pharma
29301001,pharma
29302010,full
29302020,pharma
29302090,pharma
29303060,pharma
29304000,pharma
29306000,pharma
29307000,pharma
29309029,pharma
29309049,pharma
29309092,pharma
29314100,pharma
29314200,pharma
29314300,pharma
29314400,pharma
29314500,pharma
29314600,pharma
29314700,pharma
29314800,pharma
29314900,pharma
29315100,pharma
29315200,pharma
29315300,pharma
29315400,pharma
29315900,pharma
29319022,pharma
29319030,pharma
29319060,pharma
29319090,pharma
29321100,pharma
29321400,pharma
29321910,pharma
29321951,pharma
29322005,pharma
29322020,pharma
29322025,pharma
29322030,pharma
29322045,pharma
29322050,pharma
29329500,pharma
29329904,pharma
29329908,pharma
29329921,pharma
29329932,pharma
29329935,pharma
29329939,pharma
29329955,pharma
29329961,pharma
29329970,pharma
29329990,pharma
29331100,pharma
29331908,pharma
29331923,full
29331935,pharma
29331937,pharma
29331943,pharma
29331945,pharma
29331990,pharma
29332100,pharma
29332905,pharma
29332910,pharma
29332920,pharma
29332935,pharma
29332943,pharma
29332945,pharma
29332960,pharma
29332990,pharma
29333100,pharma
29333301,pharma
29333400,pharma
29333500,pharma
29333600,pharma
29333700,pharma
29333908,pharma
29333910,pharma
29333920,pharma
29333921,pharma
29333923,pharma
29333925,pharma
29333927,pharma
29333931,pharma
29333941,pharma
29333961,pharma
29333992,pharma
29334100,pharma
29334908,pharma
29334910,pharma
29334915,pharma
29334917,pharma
29334920,pharma
29334926,pharma
29334930,pharma
29334960,pharma
29334970,pharma
29335210,pharma
29335290,pharma
29335300,pharma
29335400,pharma
29335500,pharma
29335910,pharma
29335915,pharma
29335918,pharma
29335921,pharma
29335922,pharma
29335936,pharma
29335946,pharma
29335953,pharma
29335959,pharma
29335970,pharma
29335980,pharma
29335985,pharma
29335995,pharma
29336950,pharma
29336960,pharma
29337200,pharma
29337904,pharma
29337908,pharma
29337915,pharma
29337920,pharma
29337930,pharma
29337940,pharma
29337985,pharma
29339100,pharma
29339901,pharma
29339902,pharma
29339905,pharma
29339906,pharma
29339908,pharma
29339911,pharma
29339912,pharma
29339914,pharma
29339916,pharma
29339917,pharma
29339922,pharma
29339924,pharma
29339926,pharma
29339942,pharma
29339946,pharma
29339951,pharma
29339953,pharma
29339955,pharma
29339958,pharma
29339961,pharma
29339965,pharma
29339970,pharma
29339975,pharma
29339979,pharma
29339982,pharma
29339985,pharma
29339989,pharma
29339990,pharma
29339997,pharma
29341010,pharma
29341020,pharma
29341070,pharma
29341090,pharma
29342040,pharma
29342080,pharma
29343018,pharma
29343023,pharma
29343027,pharma
29343043,pharma
29343050,pharma
29349100,pharma
29349200,pharma
29349901,pharma
29349903,pharma
29349905,pharma
29349906,pharma
29349907,pharma
29349908,pharma
29349909,pharma
29349911,pharma
29349912,pharma
29349915,pharma
29349916,pharma
29349918,pharma
29349920,pharma
29349930,pharma
29349939,pharma
29349944,pharma
29349947,pharma
29349970,pharma
29349990,pharma
29355000,pharma
29359006,pharma
29359010,pharma
29359013,pharma
29359015,pharma
29359020,pharma
29359029,pharma
29359030,pharma
29359032,pharma
29359033,pharma
29359042,pharma
29359048,pharma
29359060,pharma
29359075,pharma
29359095,pharma
29362100,full
29362200,full
29362300,full
29362401,full
29362500,full
29362600,full
29362700,full
29362800,full
29362910,full
29362916,full
29362920,full
29362950,full
29369001,full
29371100,full
29371200,full
29371900,full
29372100,full
29372200,full
29372310,full
29372325,full
29372350,full
29372910,full
29372990,full
29375000,full
29379005,full
29379010,full
29379020,full
29379040,full
29379045,full
29379090,full
29381000,pharma
29389000,pharma
29391100,full
29391910,full
29391920,full
29391950,full
29392000,full
29393000,full
29394100,full
29394200,full
29394300,pharma
29394400,full
29394500,full
29394903,full
29395100,pharma
29395900,full
29396100,pharma
29396200,full
29396300,full
29396900,full
29397200,full
