countries,hts_code,condition
2050,01061991,full
2050,06012090,full
2050,06029020,full
2050,06029030,full
2050,06029060,full
2050,06031100,full
2050,06031270,full
2050,06031300,full
2050,06031500,full
2050,06031901,full
2050,06039000,full
2050,06042000,full
2050,06049030,full
2050,06049060,full
2050,12071000,full
2050,12119060,full
2050,12119089,full
2050,12122100,full
2050,13019091,full
2050,13021991,full
2050,14049030,full
2050,14049040,full
2050,15111000,full
2050,15119000,full
2050,15132100,full
2050,15159021,full
2050,21013000,full
2050,33011951,full
2050,33012910,full
2050,33013000,full
2050,38231920,full
2050,38237040,full
2050,44034100,full
2050,44092205,full
2050,44092210,full
2050,44092225,full
2050,44092240,full
2050,44092250,full
2050,44092260,full
2050,44092265,full
2050,44092290,full
2050,44123106,full
2050,44123126,full
2050,44123142,full
2050,44123145,full
2050,44123148,full
2050,44123152,full
2050,44123161,full
2050,44123192,full
2050,44124100,full
2050,44125110,full
2050,44125131,full
2050,44125141,full
2050,44125151,full
2050,44129106,full
2050,44129110,full
2050,44129131,full
2050,44129141,full
2050,44129151,full
2050,45011000,full
2050,45019020,full
2050,45019040,full
2050,45020000,full
2050,45031020,full
2050,45031030,full
2050,45031040,full
2050,45031060,full
2050,45039020,full
2050,45039040,full
2050,45039060,full
2050,45041010,full
2050,45041020,full
2050,45041030,full
2050,45041040,full
2050,45041045,full
2050,45041047,full
2050,45041050,full
2050,45049000,full
2050,46012240,full
2050,46012280,full
2050,46012290,full
2050,46012940,full
2050,46019301,full
2050,46019305,full
2050,46019320,full
2050,46021205,full
2050,46021214,full
2050,46021216,full
2050,46021223,full
2050,46021225,full
2050,46021235,full
2050,46021245,full
2050,50040000,full
2050,50050000,full
2050,50060010,full
2050,50060090,full
2050,50071030,full
2050,50071060,full
2050,50072000,full
2050,50079030,full
2050,71011030,full
2050,71011060,full
2050,71021000,full
2050,71023100,full
2050,71023900,full
2050,71031020,full
2050,71031040,full
2050,71039100,full
2050,71039910,full
2050,71039950,full
2050,72051000,full
2050,81129207,full
2050;2110;2150;2190;2230;2470,42021100,fta
2050;2110;2150;2190;2230;2470,42021221,fta
2050;2110;2150;2190;2230;2470,42021229,fta
2050;2110;2150;2190;2230;2470,42021240,fta
2050;2110;2150;2190;2230;2470,42021260,fta
2050;2110;2150;2190;2230;2470,42021281,fta
2050;2110;2150;2190;2230;2470,42021289,fta
2050;2110;2150;2190;2230;2470,42021900,fta
2050;2110;2150;2190;2230;2470,42022130,fta
2050;2110;2150;2190;2230;2470,42022160,fta
2050;2110;2150;2190;2230;2470,42022190,fta
2050;2110;2150;2190;2230;2470,42022215,fta
2050;2110;2150;2190;2230;2470,42022235,fta
2050;2110;2150;2190;2230;2470,42022240,fta
2050;2110;2150;2190;2230;2470,42022245,fta
2050;2110;2150;2190;2230;2470,42022260,fta
2050;2110;2150;2190;2230;2470,42022270,fta
2050;2110;2150;2190;2230;2470,42022281,fta
2050;2110;2150;2190;2230;2470,42022289,fta
2050;2110;2150;2190;2230;2470,42022910,fta
2050;2110;2150;2190;2230;2470,42022920,fta
2050;2110;2150;2190;2230;2470,42022950,fta
2050;2110;2150;2190;2230;2470,42022990,fta
2050;2110;2150;2190;2230;2470,42023130,fta
2050;2110;2150;2190;2230;2470,42023160,fta
2050;2110;2150;2190;2230;2470,42023210,fta
2050;2110;2150;2190;2230;2470,42023220,fta
2050;2110;2150;2190;2230;2470,42023240,fta
2050;2110;2150;2190;2230;2470,42023280,fta
2050;2110;2150;2190;2230;2470,42023285,fta
2050;2110;2150;2190;2230;2470,42023291,fta
2050;2110;2150;2190;2230;2470,42023293,fta
2050;2110;2150;2190;2230;2470,42023299,fta
2050;2110;2150;2190;2230;2470,42023910,fta
2050;2110;2150;2190;2230;2470,42023920,fta
2050;2110;2150;2190;2230;2470,42023950,fta
2050;2110;2150;2190;2230;2470,42023990,fta
2050;2110;2150;2190;2230;2470,42029110,fta
2050;2110;2150;2190;2230;2470,42029190,fta
2050;2110;2150;2190;2230;2470,42029204,fta
2050;2110;2150;2190;2230;2470,42029208,fta
2050;2110;2150;2190;2230;2470,42029210,fta
2050;2110;2150;2190;2230;2470,42029215,fta
2050;2110;2150;2190;2230;2470,42029220,fta
2050;2110;2150;2190;2230;2470,42029231,fta
2050;2110;2150;2190;2230;2470,42029233,fta
2050;2110;2150;2190;2230;2470,42029239,fta
2050;2110;2150;2190;2230;2470,42029245,fta
2050;2110;2150;2190;2230;2470,42029250,fta
2050;2110;2150;2190;2230;2470,42029260,fta
2050;2110;2150;2190;2230;2470,42029291,fta
2050;2110;2150;2190;2230;2470,42029293,fta
2050;2110;2150;2190;2230;2470,42029294,fta
2050;2110;2150;2190;2230;2470,42029297,fta
2050;2110;2150;2190;2230;2470,42029910,fta
2050;2110;2150;2190;2230;2470,42029920,fta
2050;2110;2150;2190;2230;2470,42029930,fta
2050;2110;2150;2190;2230;2470,42029950,fta
2050;2110;2150;2190;2230;2470,42029990,fta
2050;2110;2150;2190;2230;2470,50079060,fta
2050;2110;2150;2190;2230;2470,51040000,fta
2050;2110;2150;2190;2230;2470,51051000,fta
2050;2110;2150;2190;2230;2470,51052100,fta
2050;2110;2150;2190;2230;2470,51052900,fta
2050;2110;2150;2190;2230;2470,51053100,fta
2050;2110;2150;2190;2230;2470,51053900,fta
2050;2110;2150;2190;2230;2470,51054000,fta
2050;2110;2150;2190;2230;2470,51061000,fta
2050;2110;2150;2190;2230;2470,51062000,fta
2050;2110;2150;2190;2230;2470,51071030,fta
2050;2110;2150;2190;2230;2470,51071060,fta
2050;2110;2150;2190;2230;2470,51072030,fta
2050;2110;2150;2190;2230;2470,51072060,fta
2050;2110;2150;2190;2230;2470,51081030,fta
2050;2110;2150;2190;2230;2470,51081040,fta
2050;2110;2150;2190;2230;2470,51081080,fta
2050;2110;2150;2190;2230;2470,51082030,fta
2050;2110;2150;2190;2230;2470,51082040,fta
2050;2110;2150;2190;2230;2470,51082080,fta
2050;2110;2150;2190;2230;2470,51091020,fta
2050;2110;2150;2190;2230;2470,51091040,fta
2050;2110;2150;2190;2230;2470,51091080,fta
2050;2110;2150;2190;2230;2470,51091090,fta
2050;2110;2150;2190;2230;2470,51099020,fta
2050;2110;2150;2190;2230;2470,51099040,fta
2050;2110;2150;2190;2230;2470,51099080,fta
2050;2110;2150;2190;2230;2470,51099090,fta
2050;2110;2150;2190;2230;2470,51100000,fta
2050;2110;2150;2190;2230;2470,51111120,fta
2050;2110;2150;2190;2230;2470,51111130,fta
2050;2110;2150;2190;2230;2470,51111170,fta
2050;2110;2150;2190;2230;2470,51111910,fta
2050;2110;2150;2190;2230;2470,51111920,fta
2050;2110;2150;2190;2230;2470,51111960,fta
2050;2110;2150;2190;2230;2470,51112005,fta
2050;2110;2150;2190;2230;2470,51112010,fta
2050;2110;2150;2190;2230;2470,51112090,fta
2050;2110;2150;2190;2230;2470,51113005,fta
2050;2110;2150;2190;2230;2470,51113010,fta
2050;2110;2150;2190;2230;2470,51113090,fta
2050;2110;2150;2190;2230;2470,51119030,fta
2050;2110;2150;2190;2230;2470,51119040,fta
2050;2110;2150;2190;2230;2470,51119050,fta
2050;2110;2150;2190;2230;2470,51119090,fta
2050;2110;2150;2190;2230;2470,51121110,fta
2050;2110;2150;2190;2230;2470,51121130,fta
2050;2110;2150;2190;2230;2470,51121160,fta
2050;2110;2150;2190;2230;2470,51121920,fta
2050;2110;2150;2190;2230;2470,51121960,fta
2050;2110;2150;2190;2230;2470,51121995,fta
2050;2110;2150;2190;2230;2470,51122010,fta
2050;2110;2150;2190;2230;2470,51122020,fta
2050;2110;2150;2190;2230;2470,51122030,fta
2050;2110;2150;2190;2230;2470,51123010,fta
2050;2110;2150;2190;2230;2470,51123020,fta
2050;2110;2150;2190;2230;2470,51123030,fta
2050;2110;2150;2190;2230;2470,51129030,fta
2050;2110;2150;2190;2230;2470,51129040,fta
2050;2110;2150;2190;2230;2470,51129050,fta
2050;2110;2150;2190;2230;2470,51129090,fta
2050;2110;2150;2190;2230;2470,51130000,fta
2050;2110;2150;2190;2230;2470,52030005,fta
2050;2110;2150;2190;2230;2470,52030010,fta
2050;2110;2150;2190;2230;2470,52030030,fta
2050;2110;2150;2190;2230;2470,52030050,fta
2050;2110;2150;2190;2230;2470,52041100,fta
2050;2110;2150;2190;2230;2470,52041900,fta
2050;2110;2150;2190;2230;2470,52042000,fta
2050;2110;2150;2190;2230;2470,52051110,fta
2050;2110;2150;2190;2230;2470,52051120,fta
2050;2110;2150;2190;2230;2470,52051210,fta
2050;2110;2150;2190;2230;2470,52051220,fta
2050;2110;2150;2190;2230;2470,52051310,fta
2050;2110;2150;2190;2230;2470,52051320,fta
2050;2110;2150;2190;2230;2470,52051410,fta
2050;2110;2150;2190;2230;2470,52051420,fta
2050;2110;2150;2190;2230;2470,52051510,fta
2050;2110;2150;2190;2230;2470,52051520,fta
2050;2110;2150;2190;2230;2470,52052100,fta
2050;2110;2150;2190;2230;2470,52052200,fta
2050;2110;2150;2190;2230;2470,52052300,fta
2050;2110;2150;2190;2230;2470,52052400,fta
2050;2110;2150;2190;2230;2470,52052600,fta
2050;2110;2150;2190;2230;2470,52052700,fta
2050;2110;2150;2190;2230;2470,52052800,fta
2050;2110;2150;2190;2230;2470,52053100,fta
2050;2110;2150;2190;2230;2470,52053200,fta
2050;2110;2150;2190;2230;2470,52053300,fta
2050;2110;2150;2190;2230;2470,52053400,fta
2050;2110;2150;2190;2230;2470,52053500,fta
2050;2110;2150;2190;2230;2470,52054100,fta
2050;2110;2150;2190;2230;2470,52054200,fta
2050;2110;2150;2190;2230;2470,52054300,fta
2050;2110;2150;2190;2230;2470,52054400,fta
2050;2110;2150;2190;2230;2470,52054600,fta
2050;2110;2150;2190;2230;2470,52054700,fta
2050;2110;2150;2190;2230;2470,52054800,fta
2050;2110;2150;2190;2230;2470,52061100,fta
2050;2110;2150;2190;2230;2470,52061200,fta
2050;2110;2150;2190;2230;2470,52061300,fta
2050;2110;2150;2190;2230;2470,52061400,fta
2050;2110;2150;2190;2230;2470,52061500,fta
2050;2110;2150;2190;2230;2470,52062100,fta
2050;2110;2150;2190;2230;2470,52062200,fta
2050;2110;2150;2190;2230;2470,52062300,fta
2050;2110;2150;2190;2230;2470,52062400,fta
2050;2110;2150;2190;2230;2470,52062500,fta
2050;2110;2150;2190;2230;2470,52063100,fta
2050;2110;2150;2190;2230;2470,52063200,fta
2050;2110;2150;2190;2230;2470,52063300,fta
2050;2110;2150;2190;2230;2470,52063400,fta
2050;2110;2150;2190;2230;2470,52063500,fta
2050;2110;2150;2190;2230;2470,52064100,fta
2050;2110;2150;2190;2230;2470,52064200,fta
2050;2110;2150;2190;2230;2470,52064300,fta
2050;2110;2150;2190;2230;2470,52064400,fta
2050;2110;2150;2190;2230;2470,52064500,fta
