hts8,program,ch99_heading
22030000,alcohol,9903.03.12
22041000,alcohol,9903.03.12
22042120,alcohol,9903.03.12
22042130,alcohol,9903.03.12
22042150,alcohol,9903.03.12
22042160,alcohol,9903.03.12
22042180,alcohol,9903.03.12
22042220,alcohol,9903.03.12
22042240,alcohol,9903.03.12
22042260,alcohol,9903.03.12
22042280,alcohol,9903.03.12
22042961,alcohol,9903.03.12
22042981,alcohol,9903.03.12
22051030,alcohol,9903.03.12
22060015,alcohol,9903.03.12
22060030,alcohol,9903.03.12
22060045,alcohol,9903.03.12
22060060,alcohol,9903.03.12
22060090,alcohol,9903.03.12
22071030,alcohol,9903.03.12
22082010,alcohol,9903.03.12
22082020,alcohol,9903.03.12
22082030,alcohol,9903.03.12
22082040,alcohol,9903.03.12
22082050,alcohol,9903.03.12
22082060,alcohol,9903.03.12
22083030,alcohol,9903.03.12
22083060,alcohol,9903.03.12
22084020,alcohol,9903.03.12
22084040,alcohol,9903.03.12
22084060,alcohol,9903.03.12
22084080,alcohol,9903.03.12
22085000,alcohol,9903.03.12
22086010,alcohol,9903.03.12
22086020,alcohol,9903.03.12
22086050,alcohol,9903.03.12
22087000,alcohol,9903.03.12
22089010,alcohol,9903.03.12
22089012,alcohol,9903.03.12
22089014,alcohol,9903.03.12
22089015,alcohol,9903.03.12
22089020,alcohol,9903.03.12
22089025,alcohol,9903.03.12
22089030,alcohol,9903.03.12
22089035,alcohol,9903.03.12
22089040,alcohol,9903.03.12
22089050,alcohol,9903.03.12
22089072,alcohol,9903.03.12
22089075,alcohol,9903.03.12
33011910,alcohol,9903.03.12
44130000,alcohol,9903.03.12
44199091,alcohol,9903.03.12
44209080,alcohol,9903.03.12
44219160,alcohol,9903.03.12
44219170,alcohol,9903.03.12
46021980,alcohol,9903.03.12
48041100,alcohol,9903.03.12
48062000,alcohol,9903.03.12
48101319,alcohol,9903.03.12
48115960,alcohol,9903.03.12
48119080,alcohol,9903.03.12
48119090,alcohol,9903.03.12
95069925,alcohol,9903.03.12
